d,caseno,tot,ctot
323,1,1,1
323,2,1,2
323,3,1,3
323,4,1,4
323,9,1,5
324,10,1,6
324,13,1,7
324,14,1,8
325,16,1,9
325,17,1,10
325,18,1,11
325,23,1,12
326,28,1,13
326,29,1,14
327,30,1,15
327,33,1,16
327,38,1,17
329,42,1,18
330,8,1,19
330,24,1,20
330,36,1,21
330,52,1,22
330,53,1,23
330,54,1,24
330,55,1,25
330,56,1,26
331,121-124,4,30
401,178,1,31
402,263,1,32
402,264-282,19,51
403,310,1,52
403,311,1,53
403,312,1,54
403,313-344,32,86
404,412,1,87
404,414-418,5,92
405,489-494,6,98
405,495,1,99
406,572-580,9,108
406,581-583,3,111
406,584-585,2,113
406,621,1,114
407,650-688,39,153
408,691-697,7,160
409,743-749,7,167
410,847-855,9,176
411,913-922,10,186
412,972-989,18,204
413,1078-1086,9,213
414,1174-1178,5,218
415,1208-1211,4,222
415,1242,1,223
416,1264-1266,3,226
417,1268-1278,11,237
418,1324-1330,7,244
419,1376-1425,50,294
420,1480-1497,18,312
421,1524-1578,55,367
422,1599,1,368
422,1600,1,369
422,1601,1,370
422,1602,1,371
422,1603,1,372
422,1604,1,373
422,1605,1,374
422,1606,1,375
422,1607,1,376
422,1608,1,377
422,1609,1,378
422,1610,1,379
422,1611,1,380
422,1612,1,381
422,1613,1,382
423,1631,1,383
423,1632,1,384
423,1633,1,385
423,1634,1,386
423,1635,1,387
423,1636,1,388
423,1637,1,389
423,1638,1,390
423,1639,1,391
423,1640,1,392
423,1641,1,393
423,1642,1,394
423,1643,1,395
423,1644,1,396
423,1645,1,397
423,1646,1,398
423,1647,1,399
423,1648,1,400
423,1649,1,401
423,1650,1,402
423,1651,1,403
423,1652,1,404
423,1653,1,405
423,1654,1,406
423,1655,1,407
423,1656,1,408
423,1657,1,409
424,1684,1,410
424,1685,1,411
424,1686,1,412
424,1687,1,413
424,1688,1,414
424,1689,1,415
424,1690,1,416
424,1691,1,417
424,1692,1,418
424,1693,1,419
424,1694,1,420
424,1695,1,421
424,1696,1,422
424,1697,1,423
424,1698,1,424
424,1699,1,425
424,1700,1,426
424,1701,1,427
424,1702,1,428
424,1703,1,429
424,1704,1,430
424,1705,1,431
424,1706,1,432
424,1707,1,433
424,1708,1,434
424,1709,1,435
424,1710,1,436
424,1711,1,437
424,1712,1,438
424,1713,1,439
424,1714,1,440
424,1715,1,441
424,1716,1,442
424,1717,1,443
424,1718,1,444
424,1719,1,445
424,1720,1,446
424,1721,1,447
424,1722,1,448
424,1723,1,449
424,1724,1,450
424,1725,1,451
424,1726,1,452
424,1727,1,453
424,1728,1,454
424,1729,1,455
424,1730,1,456
424,1731,1,457
424,1732,1,458
424,1733,1,459
424,1734,1,460
424,1735,1,461
425,1757,1,462
425,1758,1,463
425,1759,1,464
425,1760,1,465
425,1761,1,466
425,1762,1,467
425,1763,1,468
425,1764,1,469
425,1765,1,470
425,1766,1,471
425,1767,1,472
425,1768,1,473
425,1769,1,474
425,1770,1,475
425,1771,1,476
425,1772,1,477
425,1773,1,478
425,1774,1,479
425,1775,1,480
425,1776,1,481
425,1777,1,482
425,1778,1,483
425,1779,1,484
425,1780,1,485
425,1781,1,486
425,1782,1,487
425,1783,1,488
425,1784,1,489
425,1785,1,490
425,1786,1,491
425,1787,1,492
425,1788,1,493
425,1789,1,494
425,1790,1,495
425,1791,1,496
425,1792,1,497
425,1793,1,498
425,1795,1,499
425,1796,1,500
425,1797,1,501
425,1798,1,502
425,1799,1,503
426,1822,1,504
426,1823,1,505
426,1824,1,506
426,1825,1,507
426,1826,1,508
426,1827,1,509
426,1828,1,510
426,1829,1,511
426,1830,1,512
426,1831,1,513
426,1832,1,514
426,1833,1,515
426,1834,1,516
426,1835,1,517
426,1836,1,518
426,1837,1,519
426,1838,1,520
426,1839,1,521
426,1840,1,522
426,1841,1,523
426,1842,1,524
426,1843,1,525
426,1844,1,526
426,1845,1,527
426,1846,1,528
426,1847,1,529
426,1848,1,530
426,1849,1,531
427,1886,1,532
427,1887,1,533
427,1888,1,534
427,1889,1,535
427,1890,1,536
427,1891,1,537
427,1892,1,538
427,1893,1,539
427,1894,1,540
427,1895,1,541
427,1896,1,542
427,1897,1,543
427,1898,1,544
427,1899,1,545
427,1900,1,546
427,1901,1,547
427,1902,1,548
427,1903,1,549
427,1904,1,550
427,1905,1,551
427,1906,1,552
427,1907,1,553
427,1908,1,554
427,1909,1,555
427,1910,1,556
427,1911,1,557
427,1912,1,558
427,1913,1,559
427,1914,1,560
427,1915,1,561
427,1916,1,562
427,1917,1,563
427,1918,1,564
427,1919,1,565
427,1920,1,566
427,1921,1,567
427,1922,1,568
427,1923,1,569
427,1924,1,570
427,1925,1,571
427,1926,1,572
427,1927,1,573
427,1928,1,574
427,1929,1,575
427,1930,1,576
427,1931,1,577
427,1936,1,578
428,1950,1,579
428,1951,1,580
428,1952,1,581
428,1953,1,582
428,1954,1,583
428,1955,1,584
428,1956,1,585
428,1957,1,586
428,1958,1,587
428,1959,1,588
428,1960,1,589
428,1961,1,590
428,1962,1,591
428,1963,1,592
428,1964,1,593
428,1965,1,594
428,1966,1,595
428,1967,1,596
428,1968,1,597
428,1969,1,598
428,1970,1,599
428,1971,1,600
428,1972,1,601
428,1973,1,602
428,1974,1,603
428,1975,1,604
428,1976,1,605
428,1977,1,606
428,1978,1,607
428,1979,1,608
428,1980,1,609
428,1981,1,610
428,1982,1,611
428,1983,1,612
428,1984,1,613
428,1985,1,614
428,1986,1,615
428,1987,1,616
428,1988,1,617
428,1989,1,618
428,1990,1,619
428,1991,1,620
428,1992,1,621
428,1993,1,622
428,1994,1,623
428,1995,1,624
428,1996,1,625
428,1997,1,626
428,1998,1,627
428,1999,1,628
428,2000,1,629
428,2001,1,630
428,2002,1,631
428,2003,1,632
428,2004,1,633
428,2005,1,634
428,2006,1,635
428,2007,1,636
428,2008,1,637
428,2009,1,638
428,2010,1,639
428,2011,1,640
428,2012,1,641
428,2013,1,642
428,2014,1,643
428,2015,1,644
428,2016,1,645
428,2017,1,646
428,2018,1,647
428,2019,1,648
428,2020,1,649
428,2021,1,650
428,2022,1,651
428,2023,1,652
428,2024,1,653
428,2025,1,654
428,2026,1,655
428,2027,1,656
428,2028,1,657
428,2029,1,658
428,2030,1,659
428,2031,1,660
428,2032,1,661
428,2033,1,662
428,2034,1,663
428,2035,1,664
428,2036,1,665
428,2037,1,666
428,2038,1,667
428,2039,1,668
428,2040,1,669
428,2041,1,670
428,2042,1,671
428,2043,1,672
428,2044,1,673
428,2045,1,674
428,2046,1,675
428,2047,1,676
428,2048,1,677
428,2049,1,678
428,2050,1,679
428,2051,1,680
428,2058,1,681
429,2063,1,682
429,2064,1,683
429,2065,1,684
429,2066,1,685
429,2067,1,686
429,2068,1,687
429,2069,1,688
429,2070,1,689
429,2071,1,690
429,2072,1,691
429,2073,1,692
429,2074,1,693
429,2075,1,694
429,2076,1,695
429,2077,1,696
429,2078,1,697
429,2079,1,698
429,2080,1,699
429,2081,1,700
429,2082,1,701
429,2083,1,702
429,2084,1,703
429,2085,1,704
429,2086,1,705
429,2087,1,706
429,2088,1,707
429,2089,1,708
429,2090,1,709
429,2091,1,710
429,2092,1,711
429,2093,1,712
429,2094,1,713
429,2095,1,714
429,2096,1,715
429,2097,1,716
429,2098,1,717
429,2099,1,718
429,2100,1,719
429,2101,1,720
429,2102,1,721
429,2103,1,722
429,2104,1,723
429,2105,1,724
429,2106,1,725
429,2107,1,726
429,2108,1,727
429,2109,1,728
429,2110,1,729
429,2111,1,730
429,2112,1,731
429,2113,1,732
429,2114,1,733
429,2115,1,734
429,2116,1,735
429,2117,1,736
429,2118,1,737
429,2119,1,738
429,2120,1,739
429,2121,1,740
429,2122,1,741
429,2123,1,742
429,2124,1,743
429,2125,1,744
429,2126,1,745
429,2127,1,746
429,2128,1,747
429,2129,1,748
429,2130,1,749
429,2131,1,750
429,2132,1,751
429,2133,1,752
429,2134,1,753
429,2135,1,754
429,2136,1,755
429,2137,1,756
429,2138,1,757
429,2139,1,758
429,2140,1,759
429,2141,1,760
429,2142,1,761
429,2143,1,762
429,2144,1,763
429,2145,1,764
429,2146,1,765
429,2147,1,766
429,2148,1,767
429,2149,1,768
429,2150,1,769
429,2151,1,770
429,2152,1,771
429,2153,1,772
429,2154,1,773
429,2155,1,774
429,2156,1,775
430,2169,1,776
430,2170,1,777
430,2171,1,778
430,2172,1,779
430,2173,1,780
430,2174,1,781
430,2175,1,782
430,2176,1,783
430,2177,1,784
430,2178,1,785
430,2179,1,786
430,2180,1,787
430,2181,1,788
430,2182,1,789
430,2183,1,790
430,2184,1,791
430,2185,1,792
430,2186,1,793
430,2187,1,794
430,2188,1,795
430,2189,1,796
430,2190,1,797
