d,caseno,tot,ctot
323,7,1,1
324,11,1,2
329,43,1,3
329,44,1,4
329,45,1,5
329,46,1,6
401,149,1,7
401,150,1,8
401,151,1,9
401,152,1,10
401,153,1,11
401,154,1,12
401,155,1,13
401,156,1,14
401,157,1,15
401,158,1,16
401,159,1,17
401,160,1,18
401,161,1,19
401,162,1,20
401,163,1,21
401,164,1,22
401,165,1,23
401,166,1,24
401,167,1,25
401,168,1,26
401,169,1,27
401,170,1,28
401,171,1,29
401,172,1,30
401,173,1,31
401,174,1,32
401,175,1,33
401,176,1,34
405,497-525,29,63
406,617,1,64
407,649,1,65
410,856-881,26,91
411,923-933,11,102
412,990-1011,22,124
413,1087-1093,7,131
416,1244,1,132
418,1331,1,133
419,1426-1430,5,138
421,1579,1,139
424,1736,1,140
424,1737,1,141
424,1738,1,142
424,1739,1,143
424,1740,1,144
424,1741,1,145
424,1742,1,146
