d,caseno,tot,ctot
323,8,1,1
324,12,1,2
327,34-35,2,4
329,41,1,5
330,34,1,6
330,35,1,7
330,51,1,8
331,73-74,2,10
401,138,1,11
401,139,1,12
401,140,1,13
401,141,1,14
401,142,1,15
401,143,1,16
401,144,1,17
401,145,1,18
401,146,1,19
404,426-427,2,21
405,535-536,2,23
407,628-632,5,28
409,785,1,29
413,1109-1122,14,43
414,1190-1191,2,45
416,1254-1256,3,48
419,1443-1444,2,50
422,1616,1,51
422,1617,1,52
422,1618,1,53
422,1619,1,54
423,1662,1,55
423,1663,1,56
424,1744,1,57
424,1745,1,58
424,1746,1,59
424,1747,1,60
425,1807,1,61
425,1808,1,62
425,1809,1,63
425,1810,1,64
426,1851,1,65
426,1852,1,66
426,1853,1,67
426,1854,1,68
426,1855,1,69
426,1856,1,70
426,1857,1,71
426,1858,1,72
426,1859,1,73
426,1860,1,74
426,1861,1,75
426,1862,1,76
426,1863,1,77
426,1864,1,78
426,1865,1,79
427,1932,1,80
427,1933,1,81
427,1934,1,82
427,1935,1,83
430,2311,1,84
430,2312,1,85
430,2313,1,86
430,2314,1,87
430,2315,1,88
