"Delhi","Science Technology and Environment"," .15","0%"
"Tripura","Science Technology and Environment"," .15","0%"
"Karnataka","Science Technology and Environment"," .21","0%"
"Nagaland","Science Technology and Environment"," .88",".19%"
"Assam","Science Technology and Environment","1.65",".04%"
"Rajasthan","Science Technology and Environment","3.04",".02%"
"Madhya Pradesh              ","Science Technology and Environment","4.00",".02%"
"Manipur","Science Technology and Environment"," 10.00","1.52%"
"Arunachal Pradesh                   ","Science Technology and Environment"," 13.14",".73%"
"Goa","Science Technology and Environment"," 35.00","3.39%"
"Jammu and Kashmir                             ","Science Technology and Environment"," 52.45",".77%"
"Mizoram","Industry and Minerals","1.40",".08%"
"Puducherry","Industry and Minerals","2.00","1.01%"
"Sikkim","Industry and Minerals","2.10",".24%"
"Haryana","Industry and Minerals","2.24",".02%"
"Uttarakhand","Industry and Minerals","5.98",".15%"
"Tamil Nadu","Industry and Minerals","6.45",".04%"
"Meghalaya","Industry and Minerals","9.80","1.74%"
"Manipur","Industry and Minerals","9.98","1.52%"
"Arunachal Pradesh                   ","Industry and Minerals"," 10.28",".56%"
"Rajasthan","Industry and Minerals"," 13.16",".1%"
"Maharashtra","Industry and Minerals"," 13.57",".06%"
"Jharkhand","Industry and Minerals"," 15.50",".17%"
"Goa","Industry and Minerals"," 15.78","1.55%"
"Nagaland","Industry and Minerals"," 15.88","3.07%"
"Tripura","Industry and Minerals"," 42.93","6.15%"
"Chhattisgarh                             ","Industry and Minerals"," 64.77",".92%"
"Uttar Pradesh                ","Industry and Minerals"," 69.39",".28%"
"Himachal Pradesh    ","Industry and Minerals"," 72.83","3.01%"
"Telangana","Industry and Minerals"," 75.17",".37%"
"Assam","Industry and Minerals"," 89.45","1.98%"
"Andhra Pradesh             ","Industry and Minerals"," 99.79",".97%"
"Gujarat","Industry and Minerals","109.63",".59%"
"Bihar","Industry and Minerals","110.48",".5%"
"Jammu and Kashmir                             ","Industry and Minerals","210.92","3.12%"
"Madhya Pradesh              ","Industry and Minerals","258.29","1.04%"
"Kerala","Industry and Minerals","548.06","7.75%"
"Karnataka","Industry and Minerals","732.83","3.49%"
"West Bengal","Industry and Minerals","973.59","9.05%"
"Meghalaya","Rural Development","1.41",".17%"
"Himachal Pradesh    ","Rural Development","2.26",".08%"
"Mizoram","Rural Development"," 12.29",".95%"
"Sikkim","Rural Development"," 12.67","1.58%"
"Arunachal Pradesh                   ","Rural Development"," 53.10","2.96%"
"Punjab","Rural Development"," 67.42","5.33%"
"Delhi","Rural Development","102.50","7.08%"
"Karnataka","Rural Development","113.74",".54%"
"Tripura","Rural Development","195.54","28.02%"
"Kerala","Rural Development","515.47","7.28%"
"Rajasthan","Rural Development","653.00","5.07%"
"Chhattisgarh                             ","Rural Development","655.53","9.31%"
"Telangana","Rural Development","858.42","4.19%"
"Andhra Pradesh             ","Rural Development","869.34","8.42%"
"Gujarat","Rural Development","1,206.40","6.47%"
"Uttarakhand","Rural Development","1,236.61","30.74%"
"Maharashtra","Rural Development","1,257.56","5.35%"
"Tamil Nadu","Rural Development","1,771.58","12.12%"
"West Bengal","Rural Development","1,775.83","16.51%"
"Jammu and Kashmir                             ","Rural Development","1,849.85","27.36%"
"Jharkhand","Rural Development","2,092.79","21.76%"
"Madhya Pradesh              ","Rural Development","2,186.54","8.81%"
"Uttar Pradesh                ","Rural Development","2,313.12","9.37%"
"Bihar","Rural Development","6,387.66","29.19%"
"Chhattisgarh                             ","Communication ","1.78",".03%"
"Sikkim","Irrigation and Flood Control","1.91",".24%"
"Nagaland","Irrigation and Flood Control"," 17.46","3.26%"
"Mizoram","Irrigation and Flood Control"," 18.96","1.51%"
"Tripura","Irrigation and Flood Control"," 20.51","3%"
"Meghalaya","Irrigation and Flood Control"," 25.73","4.54%"
"Puducherry","Irrigation and Flood Control"," 30.22","15.08%"
"Delhi","Irrigation and Flood Control"," 64.97","4.51%"
"Arunachal Pradesh                   ","Irrigation and Flood Control"," 69.57","3.91%"
"Goa","Irrigation and Flood Control","151.96","14.74%"
"Manipur","Irrigation and Flood Control","169.73","25.83%"
"Himachal Pradesh    ","Irrigation and Flood Control","251.47","10.33%"
"Uttarakhand","Irrigation and Flood Control","314.96","7.83%"
"Punjab","Irrigation and Flood Control","315.13","25.08%"
"Jammu and Kashmir                             ","Irrigation and Flood Control","373.52","5.53%"
"Kerala","Irrigation and Flood Control","544.49","7.69%"
"Assam","Irrigation and Flood Control","662.99","14.75%"
"Haryana","Irrigation and Flood Control","973.55","9.85%"
"Tamil Nadu","Irrigation and Flood Control","1,205.48","8.24%"
"West Bengal","Irrigation and Flood Control","1,562.17","14.52%"
"Chhattisgarh                             ","Irrigation and Flood Control","1,678.71","23.83%"
"Jharkhand","Irrigation and Flood Control","1,689.15","17.56%"
"Rajasthan","Irrigation and Flood Control","2,188.39","16.99%"
"Bihar","Irrigation and Flood Control","2,665.49","12.18%"
"Uttar Pradesh                ","Irrigation and Flood Control","3,107.32","12.59%"
"Odisha","Irrigation and Flood Control","6,841.06","41.6%"
"Madhya Pradesh              ","Irrigation and Flood Control","7,973.14","32.13%"
"Andhra Pradesh             ","Irrigation and Flood Control","8,242.67","79.9%"
"Gujarat","Irrigation and Flood Control","9,079.81","48.74%"
"Maharashtra","Irrigation and Flood Control","9,368.43","39.82%"
"Karnataka","Irrigation and Flood Control"," 10,391.83","49.46%"
"Telangana","Irrigation and Flood Control"," 12,595.91","61.49%"
"Punjab","Energy ","2.25",".16%"
"Delhi","Energy ","2.85",".21%"
"Tripura","Energy ","6.15",".86%"
"Nagaland","Energy "," 21.70","4.22%"
"Andhra Pradesh             ","Energy "," 22.75",".22%"
"Kerala","Energy "," 23.47",".33%"
"Meghalaya","Energy "," 31.87","5.58%"
"Puducherry","Energy "," 72.52","36.68%"
"Sikkim","Energy "," 76.29","9.24%"
"Uttarakhand","Energy "," 87.01","2.16%"
"Goa","Energy ","169.03","16.39%"
"Himachal Pradesh    ","Energy ","187.11","7.7%"
"Mizoram","Energy ","212.75","16.87%"
"Arunachal Pradesh                   ","Energy ","250.92","14.04%"
"Jammu and Kashmir                             ","Energy ","660.22","9.76%"
"Maharashtra","Energy ","775.94","3.3%"
"Tamil Nadu","Energy ","781.54","5.35%"
"Assam","Energy ","803.99","17.88%"
"Chhattisgarh                             ","Energy ","824.81","11.71%"
"Karnataka","Energy ","827.00","3.94%"
"West Bengal","Energy ","827.07","7.69%"
"Odisha","Energy ","2,049.33","12.46%"
"Telangana","Energy ","2,721.27","13.28%"
"Gujarat","Energy ","2,939.36","15.78%"
"Rajasthan","Energy ","3,916.22","30.42%"
"Haryana","Energy ","5,454.44","55.18%"
"Bihar","Energy ","6,931.11","31.67%"
"Madhya Pradesh              ","Energy ","7,479.57","30.15%"
