"Manipur","Other Administrative Services ","0","0%"
"Puducherry","Other Administrative Services ","0","0%"
"Jharkhand","Other Administrative Services ","1",".18%"
"Mizoram","Other Administrative Services ","2","5.85%"
"Jammu and Kashmir                             ","Other Administrative Services ","4",".36%"
"Himachal Pradesh    ","Other Administrative Services ","4","4.52%"
"Karnataka","Other Administrative Services ","5",".5%"
"Rajasthan","Other Administrative Services ","8","1.82%"
"Andhra Pradesh             ","Other Administrative Services ","9","5.01%"
"Punjab","Other Administrative Services "," 12","4.75%"
"Goa","Other Administrative Services "," 13","4.81%"
"Telangana","Other Administrative Services "," 20","7.28%"
"Madhya Pradesh              ","Other Administrative Services "," 24","4.37%"
"Arunachal Pradesh                   ","Other Administrative Services "," 25","7.23%"
"West Bengal","Other Administrative Services "," 97","13.76%"
"Tamil Nadu","Other Administrative Services ","102","9.68%"
"Tripura","Other Administrative Services ","102","69.13%"
"Maharashtra","Other Administrative Services ","588","46.69%"
"Uttar Pradesh                ","Other Administrative Services ","951","18.08%"
"Bihar","Other Administrative Services ","2,234","61.76%"
"Uttarakhand","Stationary and Printing ","0","0%"
"Punjab","Stationary and Printing ","0","0%"
"Haryana","Stationary and Printing ","0","0%"
"Meghalaya","Stationary and Printing ","1","1.03%"
"Tripura","Stationary and Printing ","1",".68%"
"Goa","Stationary and Printing ","1",".37%"
"Rajasthan","Stationary and Printing ","1",".23%"
"Telangana","Stationary and Printing ","1",".36%"
"Mizoram","Stationary and Printing ","1","2.92%"
"Jammu and Kashmir                             ","Stationary and Printing ","1",".09%"
"Nagaland","Stationary and Printing ","2","1.89%"
"Madhya Pradesh              ","Stationary and Printing ","2",".36%"
"Kerala","Stationary and Printing ","4","1.56%"
"Odisha","Stationary and Printing ","5","1.18%"
"Gujarat","Stationary and Printing ","6",".74%"
"Arunachal Pradesh                   ","Stationary and Printing ","6","1.74%"
"Maharashtra","Stationary and Printing ","7",".56%"
"Uttar Pradesh                ","Stationary and Printing ","8",".15%"
"Tamil Nadu","Stationary and Printing "," 28","2.66%"
"Uttar Pradesh                ","Capital Outlay on Other Fiscal Services","0","0%"
"Arunachal Pradesh                   ","Capital Outlay on Other Fiscal Services","4","1.16%"
"Bihar","Capital Outlay on Other Fiscal Services"," 27",".75%"
"Jharkhand","Capital Outlay on Other Fiscal Services"," 32","5.6%"
"Jammu and Kashmir                             ","Capital Outlay on Miscellaneous General Services ","2",".18%"
"Gujarat","Capital Outlay on Miscellaneous General Services ","4",".49%"
"Delhi","Capital Outlay on Miscellaneous General Services "," 66","17.48%"
"Goa","Capital Outlay on Miscellaneous General Services ","190","70.24%"
"Uttar Pradesh                ","Capital Outlay on Miscellaneous General Services ","2,000","38.03%"
"Kerala","Capital Outlay on Police","4","1.56%"
"Arunachal Pradesh                   ","Capital Outlay on Police","4","1.16%"
"Puducherry","Capital Outlay on Police","5","6.02%"
"Sikkim","Capital Outlay on Police","5","7.82%"
"Goa","Capital Outlay on Police","7","2.59%"
"Uttarakhand","Capital Outlay on Police","7","6.3%"
"Tripura","Capital Outlay on Police"," 12","8.13%"
"Delhi","Capital Outlay on Police"," 13","3.44%"
