"Delhi","Pension and Misc. General Services ","1.51",".03%"
"Sikkim","Pension and Misc. General Services ","414.79","33.37%"
"Puducherry","Pension and Misc. General Services ","541.67","36.9%"
"Arunachal Pradesh                   ","Pension and Misc. General Services ","556.08","22.08%"
"Meghalaya","Pension and Misc. General Services ","602.12","26.69%"
"Mizoram","Pension and Misc. General Services ","618.47","32.24%"
"Goa","Pension and Misc. General Services ","742.80","28.98%"
"Manipur","Pension and Misc. General Services ","1,010.25","34.23%"
"Tripura","Pension and Misc. General Services ","1,025.31","33.66%"
"Nagaland","Pension and Misc. General Services ","1,032.95","28.51%"
"Uttarakhand","Pension and Misc. General Services ","2,628.20","31.25%"
"Chhattisgarh                             ","Pension and Misc. General Services ","3,518.73","33.81%"
"Jammu and Kashmir                             ","Pension and Misc. General Services ","3,782.72","27.66%"
"Himachal Pradesh    ","Pension and Misc. General Services ","3,865.97","43.99%"
"Jharkhand","Pension and Misc. General Services ","3,992.26","33.26%"
"Haryana","Pension and Misc. General Services ","5,442.41","29.08%"
"Assam","Pension and Misc. General Services ","5,564.77","43.97%"
"Odisha","Pension and Misc. General Services ","6,366.90","42.28%"
"Madhya Pradesh              ","Pension and Misc. General Services ","7,835.14","30.49%"
"Punjab","Pension and Misc. General Services ","7,879.40","31.88%"
"Telangana","Pension and Misc. General Services ","8,217.44","35.35%"
"Gujarat","Pension and Misc. General Services ","9,999.78","30.42%"
"Andhra Pradesh             ","Pension and Misc. General Services "," 11,237.96","39.33%"
"Rajasthan","Pension and Misc. General Services "," 11,264.23","36.32%"
"Karnataka","Pension and Misc. General Services "," 11,366.40","36.9%"
"Bihar","Pension and Misc. General Services "," 11,850.36","42.36%"
"West Bengal","Pension and Misc. General Services "," 12,955.50","28.36%"
"Maharashtra","Pension and Misc. General Services "," 15,467.69","24.03%"
"Tamil Nadu","Pension and Misc. General Services "," 18,600.28","40.87%"
"Kerala","Pension and Misc. General Services "," 18,627.69","51.62%"
"Uttar Pradesh                ","Pension and Misc. General Services "," 24,184.45","33.48%"
"Arunachal Pradesh                   ","Fiscal Services "," 33.20","1.31%"
"Puducherry","Fiscal Services "," 44.23","3%"
"Manipur","Fiscal Services "," 50.26","1.69%"
"Tripura","Fiscal Services "," 50.58","1.67%"
"Goa","Fiscal Services "," 54.63","2.15%"
"Nagaland","Fiscal Services "," 59.91","1.66%"
"Mizoram","Fiscal Services "," 69.34","3.6%"
"Meghalaya","Fiscal Services "," 71.80","3.19%"
"Sikkim","Fiscal Services "," 75.94","6.11%"
"Himachal Pradesh    ","Fiscal Services ","196.94","2.24%"
"Jammu and Kashmir                             ","Fiscal Services ","265.44","1.94%"
"Jharkhand","Fiscal Services ","295.82","2.47%"
"Haryana","Fiscal Services ","361.32","1.93%"
"Assam","Fiscal Services ","421.00","3.33%"
"Uttarakhand","Fiscal Services ","517.45","6.15%"
"Punjab","Fiscal Services ","525.55","2.13%"
"Gujarat","Fiscal Services ","613.85","1.87%"
"Odisha","Fiscal Services ","649.80","4.32%"
"Bihar","Fiscal Services ","669.27","2.39%"
"Telangana","Fiscal Services ","742.81","3.2%"
"Andhra Pradesh             ","Fiscal Services ","903.01","3.16%"
"Chhattisgarh                             ","Fiscal Services ","925.63","8.9%"
"Tamil Nadu","Fiscal Services ","936.73","2.06%"
"Karnataka","Fiscal Services ","960.89","3.12%"
"Kerala","Fiscal Services ","1,361.24","3.77%"
"Delhi","Fiscal Services ","1,407.93","21.91%"
"Rajasthan","Fiscal Services ","1,708.13","5.51%"
"West Bengal","Fiscal Services ","1,849.35","4.05%"
"Maharashtra","Fiscal Services ","2,423.62","3.77%"
"Madhya Pradesh              ","Fiscal Services ","2,879.09","11.2%"
"Uttar Pradesh                ","Fiscal Services ","2,993.33","4.14%"
"Puducherry","Organs of State "," 42.59","2.93%"
"Mizoram","Organs of State "," 65.88","3.44%"
"Sikkim","Organs of State "," 68.74","5.55%"
"Nagaland","Organs of State "," 79.54","2.21%"
"Arunachal Pradesh                   ","Organs of State "," 79.84","3.18%"
"Goa","Organs of State "," 86.70","3.39%"
"Tripura","Organs of State "," 92.13","3.02%"
"Manipur","Organs of State ","108.46","3.66%"
"Meghalaya","Organs of State ","121.21","5.36%"
"Himachal Pradesh    ","Organs of State ","213.91","2.44%"
"Jammu and Kashmir                             ","Organs of State ","249.63","1.83%"
"Chhattisgarh                             ","Organs of State ","307.55","2.96%"
"Uttarakhand","Organs of State ","307.88","3.66%"
"Jharkhand","Organs of State ","419.54","3.5%"
"Odisha","Organs of State ","421.22","2.8%"
"Assam","Organs of State ","424.49","3.35%"
"Telangana","Organs of State ","594.94","2.56%"
"Andhra Pradesh             ","Organs of State ","618.50","2.16%"
"Punjab","Organs of State ","633.91","2.57%"
"Haryana","Organs of State ","742.66","3.97%"
"West Bengal","Organs of State ","778.73","1.7%"
"Rajasthan","Organs of State ","791.73","2.55%"
"Gujarat","Organs of State ","796.96","2.42%"
"Delhi","Organs of State ","859.33","13.37%"
"Kerala","Organs of State ","866.93","2.4%"
"Madhya Pradesh              ","Organs of State ","916.99","3.57%"
"Karnataka","Organs of State ","944.36","3.07%"
"Tamil Nadu","Organs of State ","1,014.61","2.23%"
"Bihar","Organs of State ","1,234.43","4.41%"
"Maharashtra","Organs of State ","1,859.16","2.89%"
"Uttar Pradesh                ","Organs of State ","1,977.87","2.74%"
"Sikkim","Interest Payment and Servicing of Debt","274.07","22.03%"
"Mizoram","Interest Payment and Servicing of Debt","399.52","20.87%"
"Meghalaya","Interest Payment and Servicing of Debt","497.26","22.03%"
"Puducherry","Interest Payment and Servicing of Debt","552.89","37.65%"
"Manipur","Interest Payment and Servicing of Debt","554.40","18.77%"
"Arunachal Pradesh                   ","Interest Payment and Servicing of Debt","615.64","24.46%"
"Tripura","Interest Payment and Servicing of Debt","729.39","23.94%"
"Nagaland","Interest Payment and Servicing of Debt","787.12","21.72%"
"Goa","Interest Payment and Servicing of Debt","1,074.70","41.93%"
"Chhattisgarh                             ","Interest Payment and Servicing of Debt","2,348.91","22.57%"
"Assam","Interest Payment and Servicing of Debt","2,775.91","21.93%"
"Delhi","Interest Payment and Servicing of Debt","2,809.81","43.72%"
"Uttarakhand","Interest Payment and Servicing of Debt","3,021.11","35.92%"
"Himachal Pradesh    ","Interest Payment and Servicing of Debt","3,155.00","35.9%"
"Jharkhand","Interest Payment and Servicing of Debt","3,320.08","27.66%"
"Odisha","Interest Payment and Servicing of Debt","3,343.30","22.2%"
"Jammu and Kashmir                             ","Interest Payment and Servicing of Debt","3,757.01","27.47%"
"Bihar","Interest Payment and Servicing of Debt","7,589.55","27.13%"
"Telangana","Interest Payment and Servicing of Debt","7,942.47","34.16%"
"Madhya Pradesh              ","Interest Payment and Servicing of Debt","8,090.88","31.48%"
"Haryana","Interest Payment and Servicing of Debt","8,546.55","45.67%"
"Punjab","Interest Payment and Servicing of Debt","9,781.77","39.58%"
"Andhra Pradesh             ","Interest Payment and Servicing of Debt"," 10,358.72","36.25%"
"Kerala","Interest Payment and Servicing of Debt"," 11,110.62","30.79%"
"Karnataka","Interest Payment and Servicing of Debt"," 11,816.37","38.36%"
"Rajasthan","Interest Payment and Servicing of Debt"," 12,008.30","38.72%"
"Gujarat","Interest Payment and Servicing of Debt"," 16,800.13","51.1%"
"Tamil Nadu","Interest Payment and Servicing of Debt"," 17,742.43","38.98%"
"West Bengal","Interest Payment and Servicing of Debt"," 23,414.92","51.25%"
"Maharashtra","Interest Payment and Servicing of Debt"," 27,991.41","43.48%"
"Uttar Pradesh                ","Interest Payment and Servicing of Debt"," 28,414.65","39.34%"
"Puducherry","Administrative Services ","287.59","19.61%"
"Sikkim","Administrative Services ","410.26","32.96%"
"Goa","Administrative Services ","605.25","23.6%"
"Mizoram","Administrative Services ","763.79","39.85%"
"Meghalaya","Administrative Services ","963.13","42.7%"
"Tripura","Administrative Services ","1,147.78","37.7%"
"Manipur","Administrative Services ","1,227.44","41.58%"
"Arunachal Pradesh                   ","Administrative Services ","1,233.32","48.97%"
"Delhi","Administrative Services ","1,348.54","20.99%"
"Himachal Pradesh    ","Administrative Services ","1,356.65","15.44%"
"Nagaland","Administrative Services ","1,663.72","45.93%"
"Uttarakhand","Administrative Services ","1,935.34","23.01%"
"Chhattisgarh                             ","Administrative Services ","3,307.95","31.78%"
"Assam","Administrative Services ","3,469.87","27.42%"
"Haryana","Administrative Services ","3,620.39","19.34%"
"Jharkhand","Administrative Services ","3,974.73","33.12%"
"Kerala","Administrative Services ","4,118.21","11.41%"
"Odisha","Administrative Services ","4,277.44","28.4%"
"Gujarat","Administrative Services ","4,665.33","14.19%"
"Rajasthan","Administrative Services ","5,243.88","16.91%"
"Andhra Pradesh             ","Administrative Services ","5,454.72","19.09%"
"Jammu and Kashmir                             ","Administrative Services ","5,620.12","41.1%"
"Karnataka","Administrative Services ","5,711.26","18.54%"
"Telangana","Administrative Services ","5,749.58","24.73%"
"Punjab","Administrative Services ","5,892.82","23.85%"
"Madhya Pradesh              ","Administrative Services ","5,978.17","23.26%"
"Bihar","Administrative Services ","6,628.69","23.7%"
"West Bengal","Administrative Services ","6,690.81","14.64%"
"Tamil Nadu","Administrative Services ","7,217.83","15.86%"
"Uttar Pradesh                ","Administrative Services "," 14,657.62","20.29%"
"Maharashtra","Administrative Services "," 16,627.87","25.83%"
