"Manipur","Others ","145.07","87.99%"
"Tripura","Others ","181.73","83.16%"
"Delhi","Others ","288.02","75.65%"
"Mizoram","Others ","316.87","86.8%"
"Nagaland","Others ","338.80","98.11%"
"Sikkim","Others ","371.25","82.15%"
"Arunachal Pradesh                   ","Others ","488.43","89.57%"
"Meghalaya","Others ","638.87","93.25%"
"Puducherry","Others ","1,178.93","94.67%"
"Uttarakhand","Others ","1,258.85","94.04%"
"Himachal Pradesh    ","Others ","1,282.05","74.67%"
"Bihar","Others ","1,459.48","61.07%"
"West Bengal","Others ","1,747.56","59.34%"
"Goa","Others ","2,690.63","99.76%"
"Assam","Others ","3,753.28","86.22%"
"Haryana","Others ","3,880.40","62.62%"
"Jammu and Kashmir                             ","Others ","4,008.47","98.43%"
"Karnataka","Others ","4,512.29","77.95%"
"Punjab","Others ","4,565.52","77.88%"
"Andhra Pradesh             ","Others ","5,076.06","97.75%"
"Jharkhand","Others ","5,230.07","98.09%"
"Tamil Nadu","Others ","5,409.84","54.64%"
"Chhattisgarh                             ","Others ","5,511.45","97.21%"
"Odisha","Others ","7,049.66","89.55%"
"Telangana","Others ","7,920.85","80.98%"
"Madhya Pradesh              ","Others ","8,273.34","91.05%"
"Maharashtra","Others ","9,383.23","75.46%"
"Kerala","Others ","9,460.10","97.58%"
"Rajasthan","Others ","9,614.39","83.55%"
"Gujarat","Others "," 10,655.43","79.84%"
"Uttar Pradesh                ","Others "," 27,692.78","97.89%"
"Punjab","Dividends and profits ","3.88",".07%"
"Andhra Pradesh             ","Dividends and profits ","4.23",".08%"
"Telangana","Dividends and profits "," 70.04",".72%"
"Rajasthan","Dividends and profits "," 67.80",".59%"
"Maharashtra","Dividends and profits "," 66.81",".54%"
"Sikkim","Dividends and profits ","2.01",".44%"
"West Bengal","Dividends and profits ","1.05",".03%"
"Goa","Dividends and profits "," .86",".04%"
"Chhattisgarh                             ","Dividends and profits "," .55",".02%"
"Jammu and Kashmir                             ","Dividends and profits "," 45.11","1.11%"
"Meghalaya","Dividends and profits "," .11","0%"
"Odisha","Dividends and profits ","566.04","7.19%"
"Tripura","Dividends and profits "," .05","0%"
"Puducherry","Dividends and profits "," .01","0%"
"Himachal Pradesh    ","Dividends and profits ","289.63","16.89%"
"Madhya Pradesh              ","Dividends and profits ","231.50","2.54%"
"Tamil Nadu","Dividends and profits ","184.77","1.87%"
"Manipur","Dividends and profits "," .00","0%"
"Uttarakhand","Dividends and profits "," 15.21","1.12%"
"Delhi","Dividends and profits "," 11.28","2.89%"
"Assam","Dividends and profits ","124.44","2.85%"
"Arunachal Pradesh                   ","Dividends and profits "," .00","0%"
"Haryana","Dividends and profits ","5.89",".1%"
"Gujarat","Dividends and profits ","110.10",".82%"
"Kerala","Dividends and profits "," 96.37",".99%"
"Uttar Pradesh                ","Dividends and profits "," 86.34",".3%"
"Karnataka","Dividends and profits "," 82.50","1.43%"
"Bihar","Dividends and profits ","3.73",".17%"
"Gujarat","Interest Receipts ","2,580.13","19.33%"
"Maharashtra","Interest Receipts ","3,259.30","26.21%"
"Haryana","Interest Receipts ","2,309.79","37.28%"
"Rajasthan","Interest Receipts ","1,933.37","16.8%"
"Telangana","Interest Receipts ","1,790.82","18.31%"
"Punjab","Interest Receipts ","1,293.80","22.07%"
"West Bengal","Interest Receipts ","1,201.24","40.77%"
"Karnataka","Interest Receipts ","1,199.74","20.73%"
"Uttar Pradesh                ","Interest Receipts ","1,164.95","4.12%"
"Bihar","Interest Receipts ","939.91","39.34%"
"Madhya Pradesh              ","Interest Receipts ","581.67","6.41%"
"Assam","Interest Receipts ","475.40","10.91%"
"Odisha","Interest Receipts ","427.40","5.42%"
"Chhattisgarh                             ","Interest Receipts ","157.25","2.77%"
"Himachal Pradesh    ","Interest Receipts ","145.56","8.5%"
"Kerala","Interest Receipts ","143.51","1.49%"
"Jharkhand","Interest Receipts ","121.34","2.27%"
"Andhra Pradesh             ","Interest Receipts ","112.55","2.18%"
"Delhi","Interest Receipts "," 81.39","21.28%"
"Tamil Nadu","Interest Receipts ","4,319.15","43.62%"
"Uttarakhand","Interest Receipts "," 71.77","5.38%"
"Puducherry","Interest Receipts "," 66.44","5.3%"
"Arunachal Pradesh                   ","Interest Receipts "," 56.39","10.28%"
"Mizoram","Interest Receipts "," 48.34","13.14%"
"Meghalaya","Interest Receipts "," 46.25","6.71%"
"Tripura","Interest Receipts "," 37.07","16.91%"
"Goa","Interest Receipts "," 20.51",".78%"
"Manipur","Interest Receipts "," 19.73","12.14%"
"Jammu and Kashmir                             ","Interest Receipts "," 18.62",".47%"
"Nagaland","Interest Receipts ","6.73","2.03%"
"Sikkim","Interest Receipts "," 78.38","17.27%"
