"Mizoram","Others ","1.90",".09%"
"Goa","Others ","2.11",".07%"
"Tripura","Others ","3.06",".09%"
"Manipur","Others ","3.30",".15%"
"Puducherry","Others ","5.69",".33%"
"Haryana","Others ","6.56",".04%"
"Sikkim","Others ","8.02",".63%"
"Meghalaya","Others ","8.33",".34%"
"Delhi","Others ","9.85",".08%"
"Arunachal Pradesh                   ","Others "," 11.30",".47%"
"Nagaland","Others "," 13.15",".7%"
"Telangana","Others "," 14.07",".07%"
"Chhattisgarh                             ","Others "," 17.84",".12%"
"Jammu and Kashmir                             ","Others "," 21.08",".25%"
"Andhra Pradesh             ","Others "," 21.33",".07%"
"Jharkhand","Others "," 21.98",".18%"
"Punjab","Others "," 22.82",".17%"
"Assam","Others "," 29.49",".16%"
"Himachal Pradesh    ","Others "," 37.33",".5%"
"Rajasthan","Others "," 45.43",".12%"
"Bihar","Others "," 52.04",".16%"
"Kerala","Others "," 55.72",".24%"
"Gujarat","Others "," 58.20",".16%"
"Uttarakhand","Others "," 67.13",".73%"
"Uttar Pradesh                ","Others "," 70.67",".12%"
"Maharashtra","Others ","105.38",".14%"
"Madhya Pradesh              ","Others ","120.45",".37%"
"Tamil Nadu","Others ","124.83",".25%"
"Odisha","Others ","131.70",".63%"
"Karnataka","Others ","207.39",".53%"
"West Bengal","Others ","388.99",".97%"
"Puducherry","Information and Broadcasting","3.22",".16%"
"Manipur","Information and Broadcasting","5.16",".25%"
"Mizoram","Information and Broadcasting","9.12",".42%"
"Sikkim","Information and Broadcasting"," 10.44",".78%"
"Meghalaya","Information and Broadcasting"," 13.56",".59%"
"Delhi","Information and Broadcasting"," 14.50",".11%"
"Goa","Information and Broadcasting"," 15.29",".53%"
"Arunachal Pradesh                   ","Information and Broadcasting"," 15.40",".64%"
"Nagaland","Information and Broadcasting"," 22.94","1.24%"
"Tripura","Information and Broadcasting"," 24.27",".75%"
"Himachal Pradesh    ","Information and Broadcasting"," 29.33",".39%"
"Punjab","Information and Broadcasting"," 30.00",".22%"
"Jammu and Kashmir                             ","Information and Broadcasting"," 38.04",".45%"
"Odisha","Information and Broadcasting"," 41.94",".2%"
"Assam","Information and Broadcasting"," 47.54",".27%"
"Rajasthan","Information and Broadcasting"," 49.93",".13%"
"Uttarakhand","Information and Broadcasting"," 52.95",".57%"
"Kerala","Information and Broadcasting"," 63.75",".27%"
"Chhattisgarh                             ","Information and Broadcasting"," 65.79",".43%"
"Jharkhand","Information and Broadcasting"," 65.95",".55%"
"Telangana","Information and Broadcasting"," 72.74",".39%"
"Uttar Pradesh                ","Information and Broadcasting"," 74.05",".12%"
"Karnataka","Information and Broadcasting"," 78.73",".2%"
"West Bengal","Information and Broadcasting"," 80.48",".2%"
"Haryana","Information and Broadcasting","101.33",".53%"
"Tamil Nadu","Information and Broadcasting","105.02",".21%"
"Andhra Pradesh             ","Information and Broadcasting","105.51",".34%"
"Bihar","Information and Broadcasting","115.38",".36%"
"Gujarat","Information and Broadcasting","119.85",".33%"
"Maharashtra","Information and Broadcasting","121.77",".16%"
"Madhya Pradesh              ","Information and Broadcasting","154.13",".48%"
"Sikkim","Labour and Labour Welfare","5.07",".39%"
"Mizoram","Labour and Labour Welfare"," 11.02",".51%"
"Manipur","Labour and Labour Welfare"," 13.37",".64%"
"Arunachal Pradesh                   ","Labour and Labour Welfare"," 19.42",".81%"
"Puducherry","Labour and Labour Welfare"," 24.55","1.37%"
"Meghalaya","Labour and Labour Welfare"," 32.62","1.39%"
"Nagaland","Labour and Labour Welfare"," 33.86","1.83%"
"Tripura","Labour and Labour Welfare"," 39.24","1.22%"
"Goa","Labour and Labour Welfare"," 43.40","1.53%"
"Telangana","Labour and Labour Welfare"," 75.58",".41%"
"Jammu and Kashmir                             ","Labour and Labour Welfare"," 90.93","1.07%"
"Jharkhand","Labour and Labour Welfare"," 91.25",".76%"
"Himachal Pradesh    ","Labour and Labour Welfare"," 92.51","1.25%"
"Delhi","Labour and Labour Welfare","100.73",".76%"
"Bihar","Labour and Labour Welfare","118.73",".38%"
"Uttarakhand","Labour and Labour Welfare","127.55","1.39%"
"Andhra Pradesh             ","Labour and Labour Welfare","147.47",".47%"
"Assam","Labour and Labour Welfare","154.50",".85%"
"Punjab","Labour and Labour Welfare","170.19","1.24%"
"Chhattisgarh                             ","Labour and Labour Welfare","173.36","1.12%"
"Odisha","Labour and Labour Welfare","262.16","1.25%"
"Haryana","Labour and Labour Welfare","289.71","1.52%"
"West Bengal","Labour and Labour Welfare","306.13",".76%"
"Madhya Pradesh              ","Labour and Labour Welfare","330.66","1.03%"
"Karnataka","Labour and Labour Welfare","380.54",".97%"
"Tamil Nadu","Labour and Labour Welfare","408.68",".81%"
"Rajasthan","Labour and Labour Welfare","451.54","1.2%"
"Kerala","Labour and Labour Welfare","762.60","3.22%"
"Gujarat","Labour and Labour Welfare","885.50","2.41%"
"Maharashtra","Labour and Labour Welfare","895.30","1.16%"
"Uttar Pradesh                ","Labour and Labour Welfare","1,032.31","1.69%"
"Manipur","Water Supply, Sanitation, Housing and Urban Development","115.93","5.72%"
"Nagaland","Water Supply, Sanitation, Housing and Urban Development","127.95","6.9%"
"Sikkim","Water Supply, Sanitation, Housing and Urban Development","207.46","16.18%"
"Meghalaya","Water Supply, Sanitation, Housing and Urban Development","217.50","9.16%"
"Tripura","Water Supply, Sanitation, Housing and Urban Development","233.30","7.32%"
"Puducherry","Water Supply, Sanitation, Housing and Urban Development","251.08","13.71%"
"Mizoram","Water Supply, Sanitation, Housing and Urban Development","254.97","11.8%"
"Goa","Water Supply, Sanitation, Housing and Urban Development","353.77","12.58%"
"Arunachal Pradesh                   ","Water Supply, Sanitation, Housing and Urban Development","357.41","15.14%"
"Uttarakhand","Water Supply, Sanitation, Housing and Urban Development","841.05","9.12%"
"Kerala","Water Supply, Sanitation, Housing and Urban Development","1,049.84","4.43%"
"Himachal Pradesh    ","Water Supply, Sanitation, Housing and Urban Development","1,061.51","14.25%"
"Punjab","Water Supply, Sanitation, Housing and Urban Development","1,077.29","7.84%"
"Jammu and Kashmir                             ","Water Supply, Sanitation, Housing and Urban Development","1,538.63","18.1%"
"Chhattisgarh                             ","Water Supply, Sanitation, Housing and Urban Development","1,556.13","10.11%"
"Jharkhand","Water Supply, Sanitation, Housing and Urban Development","1,739.48","14.59%"
"Assam","Water Supply, Sanitation, Housing and Urban Development","1,880.73","10.4%"
"Odisha","Water Supply, Sanitation, Housing and Urban Development","1,892.52","9.03%"
"Uttar Pradesh                ","Water Supply, Sanitation, Housing and Urban Development","2,048.32","3.36%"
"Telangana","Water Supply, Sanitation, Housing and Urban Development","2,114.84","11.28%"
"Delhi","Water Supply, Sanitation, Housing and Urban Development","2,116.60","15.91%"
"Haryana","Water Supply, Sanitation, Housing and Urban Development","3,021.12","15.8%"
"Madhya Pradesh              ","Water Supply, Sanitation, Housing and Urban Development","3,277.10","10.22%"
"Bihar","Water Supply, Sanitation, Housing and Urban Development","3,639.47","11.47%"
"Tamil Nadu","Water Supply, Sanitation, Housing and Urban Development","3,786.12","7.52%"
"Karnataka","Water Supply, Sanitation, Housing and Urban Development","3,944.02","10.02%"
"Andhra Pradesh             ","Water Supply, Sanitation, Housing and Urban Development","4,394.66","14.04%"
"Rajasthan","Water Supply, Sanitation, Housing and Urban Development","4,679.03","12.39%"
"West Bengal","Water Supply, Sanitation, Housing and Urban Development","5,280.80","13.15%"
"Maharashtra","Water Supply, Sanitation, Housing and Urban Development","7,428.71","9.65%"
"Gujarat","Water Supply, Sanitation, Housing and Urban Development","8,723.11","23.76%"
"Sikkim","Welfare of SC ST, other BC and Minorities ","121.51","9.53%"
"Nagaland","Welfare of SC ST, other BC and Minorities ","198.84","10.73%"
"Meghalaya","Welfare of SC ST, other BC and Minorities ","317.60","13.42%"
"Manipur","Welfare of SC ST, other BC and Minorities ","361.42","17.8%"
"Arunachal Pradesh                   ","Welfare of SC ST, other BC and Minorities ","378.08","16.03%"
"Mizoram","Welfare of SC ST, other BC and Minorities ","413.84","19.16%"
"Puducherry","Welfare of SC ST, other BC and Minorities ","466.63","25.5%"
"Goa","Welfare of SC ST, other BC and Minorities ","684.79","24.34%"
"Tripura","Welfare of SC ST, other BC and Minorities ","838.28","26.32%"
"Himachal Pradesh    ","Welfare of SC ST, other BC and Minorities ","849.78","11.41%"
"Jammu and Kashmir                             ","Welfare of SC ST, other BC and Minorities ","1,028.73","12.1%"
"Delhi","Welfare of SC ST, other BC and Minorities ","1,874.69","14.09%"
"Uttarakhand","Welfare of SC ST, other BC and Minorities ","2,172.20","23.55%"
"Chhattisgarh                             ","Welfare of SC ST, other BC and Minorities ","2,219.88","14.43%"
"Punjab","Welfare of SC ST, other BC and Minorities ","2,592.65","18.89%"
"Jharkhand","Welfare of SC ST, other BC and Minorities ","2,894.14","24.29%"
"Assam","Welfare of SC ST, other BC and Minorities ","2,901.70","16.04%"
"Haryana","Welfare of SC ST, other BC and Minorities ","4,234.80","22.15%"
"Kerala","Welfare of SC ST, other BC and Minorities ","4,960.92","20.92%"
"Odisha","Welfare of SC ST, other BC and Minorities ","6,040.24","28.81%"
"Gujarat","Welfare of SC ST, other BC and Minorities ","6,108.66","16.64%"
"Rajasthan","Welfare of SC ST, other BC and Minorities ","7,191.14","19.05%"
"Telangana","Welfare of SC ST, other BC and Minorities ","7,193.08","38.36%"
"Madhya Pradesh              ","Welfare of SC ST, other BC and Minorities ","7,441.13","23.2%"
"West Bengal","Welfare of SC ST, other BC and Minorities ","8,181.97","20.38%"
"Bihar","Welfare of SC ST, other BC and Minorities ","8,231.73","25.96%"
"Karnataka","Welfare of SC ST, other BC and Minorities "," 11,634.67","29.56%"
"Andhra Pradesh             ","Welfare of SC ST, other BC and Minorities "," 12,409.71","39.64%"
"Uttar Pradesh                ","Welfare of SC ST, other BC and Minorities "," 13,655.65","22.42%"
