"Nagaland","Other Taxes "," .64",".13%"
"Maharashtra","Other Taxes ","2,743.13","2.01%"
"Tripura","Other Taxes ","5.08",".36%"
"Jammu and Kashmir                             ","Other Taxes ","5.85",".07%"
"Meghalaya","Other Taxes ","7.88",".66%"
"Manipur","Other Taxes "," 15.95","2.72%"
"Chhattisgarh                             ","Other Taxes "," 29.06",".15%"
"Jharkhand","Other Taxes "," 39.94",".3%"
"Odisha","Other Taxes "," 46.40",".2%"
"Assam","Other Taxes "," 78.97",".65%"
"Sikkim","Other Taxes "," 79.83","12.23%"
"Bihar","Other Taxes "," 81.08",".34%"
"Punjab","Other Taxes ","100.75",".36%"
"Uttarakhand","Other Taxes ","126.53","1.16%"
"Andhra Pradesh             ","Other Taxes ","150.96",".34%"
"Haryana","Other Taxes ","172.08",".51%"
"Madhya Pradesh              ","Other Taxes ","177.69",".4%"
"Rajasthan","Other Taxes ","220.08",".5%"
"Kerala","Other Taxes ","240.75",".57%"
"Telangana","Other Taxes ","335.22",".69%"
"Himachal Pradesh    ","Other Taxes ","359.84","5.11%"
"Goa","Other Taxes ","400.45","9.4%"
"Tamil Nadu","Other Taxes ","411.32",".48%"
"Gujarat","Other Taxes ","574.78",".89%"
"West Bengal","Other Taxes ","667.52","1.47%"
"Uttar Pradesh                ","Other Taxes ","725.48",".84%"
"Delhi","Other Taxes ","789.53","2.54%"
"Karnataka","Other Taxes ","1,098.79","1.32%"
"Mizoram","Other Taxes "," .82",".18%"
"Manipur","Taxes and duties on electricity "," .01","0%"
"Maharashtra","Taxes and duties on electricity ","6,669.56","4.88%"
"Nagaland","Taxes and duties on electricity "," .06",".01%"
"Meghalaya","Taxes and duties on electricity ","2.34",".2%"
"Assam","Taxes and duties on electricity "," 49.44",".41%"
"Kerala","Taxes and duties on electricity "," 63.30",".15%"
"Jammu and Kashmir                             ","Taxes and duties on electricity "," 89.94","1.15%"
"Jharkhand","Taxes and duties on electricity ","151.89","1.14%"
"Uttarakhand","Taxes and duties on electricity ","188.56","1.73%"
"Bihar","Taxes and duties on electricity ","223.90",".94%"
"Haryana","Taxes and duties on electricity ","275.69",".81%"
"Andhra Pradesh             ","Taxes and duties on electricity ","333.39",".75%"
"Himachal Pradesh    ","Taxes and duties on electricity ","371.67","5.28%"
"Telangana","Taxes and duties on electricity ","514.01","1.06%"
"Rajasthan","Taxes and duties on electricity ","738.24","1.66%"
"Tamil Nadu","Taxes and duties on electricity ","1,242.47","1.45%"
"West Bengal","Taxes and duties on electricity ","1,318.87","2.9%"
"Karnataka","Taxes and duties on electricity ","1,451.50","1.75%"
"Chhattisgarh                             ","Taxes and duties on electricity ","1,495.48","7.89%"
"Uttar Pradesh                ","Taxes and duties on electricity ","1,555.83","1.81%"
"Odisha","Taxes and duties on electricity ","1,637.14","7.16%"
"Punjab","Taxes and duties on electricity ","1,993.01","7.18%"
"Madhya Pradesh              ","Taxes and duties on electricity ","2,620.53","5.93%"
"Gujarat","Taxes and duties on electricity ","5,833.10","9.05%"
"Tripura","Taxes and duties on electricity "," .02","0%"
"Jharkhand","Taxes on goods and passengers"," .01","0%"
"Bihar","Taxes on goods and passengers","6,245.62","26.31%"
"Uttar Pradesh                ","Taxes on goods and passengers"," .31","0%"
"Punjab","Taxes on goods and passengers"," .62","0%"
"Manipur","Taxes on goods and passengers","1.00",".17%"
"Meghalaya","Taxes on goods and passengers","5.32",".45%"
"Mizoram","Taxes on goods and passengers","7.90","1.79%"
"Telangana","Taxes on goods and passengers"," 11.29",".02%"
"Andhra Pradesh             ","Taxes on goods and passengers"," 12.33",".03%"
"Nagaland","Taxes on goods and passengers"," 14.76","2.89%"
"Gujarat","Taxes on goods and passengers"," 66.40",".1%"
"Himachal Pradesh    ","Taxes on goods and passengers","121.37","1.72%"
"Arunachal Pradesh                   ","Taxes on goods and passengers","281.17","39.67%"
"Goa","Taxes on goods and passengers","453.44","10.64%"
"Haryana","Taxes on goods and passengers","594.59","1.75%"
"Jammu and Kashmir                             ","Taxes on goods and passengers","747.88","9.56%"
"Rajasthan","Taxes on goods and passengers","803.28","1.81%"
"West Bengal","Taxes on goods and passengers","934.32","2.05%"
"Assam","Taxes on goods and passengers","1,069.81","8.86%"
"Chhattisgarh                             ","Taxes on goods and passengers","1,340.36","7.07%"
