Field,Award,Name,Year
Public Affairs,BR,Shri Chakravarti Rajagopalachari, 1954
Science,BR,Dr. Chandrasekhara Venkata Raman,1954
Public Affairs,BR,Shri Kumaraswamy Kamraj,1976
Public Affairs,BR,Shri Marudur Gopalan Ramachandran,1988
Science,BR,Dr. A.P.J. Abdul Kalam,1997
Art,BR,Smt. Madurai Shanmukhavadivu Subbulakshmi,1998
Public Affairs,BR,Shri Chidambaram Subramaniam,1998
Science & Eng.,PB,Dr. K.S. Krishnan,1954
Litt. & Edu.,PB,Dr. Arcot Lakshamanaswami Mudaliar,1954
Art,PB,Late Smt. M.S. Subbalakshmi,1954
Civil Service,PB,Shri Attur Rangaswami Venkatachari,1955
Social Work,PS,Smt. Mary Clubwalla Jadhav,1955
Art,PB,Smt. Rukmini Devi Arundale,1956
Civil Service,PB,Shri Malur Srinivasa Thirumale Iyengar,1956
Sports,PB,Shri Cottari Kanakaiyah Nayudu,1956
Medicine,PB,Dr. Muthulakshmi Reddi,1956
Litt. & Edu.,PB,Shri Kasturi Srinivasan,1956
Science & Eng.,PB,Dr. Tiruvadi Sambasiva Venkatraman,1956
Art,PB,Smt. T. Balasaraswathy,1957
Litt. & Edu.,PB,Shri K.A. Nilakanta Sastri,1957
Social Work,PB,Dr. Rm. Alagappa Chettiar,1957
Civil Service,PS,Shri Narayana swami Dharmrajan,1957
Civil Service,PS,Maj. Gen. Gurbaksh Singh,1957
Social Work,PS,Shri Thakkadu Natesasastrigal Jagadisan,1957
Art,PB,Shri Ariyakudi Ramanuja Iyengar,1958
Social Work,PS,Shri Punamalai Ekambaranathan,1958
Public Affairs,PS,Shri Moturi Satyanarayana,1958
Social Work,PS,Smt. R.S. Subbalakshmi,1958
Art,PB,Shri Pammal S. Mudaliar,1959
Litt. & Edu.,PB,Shri Tiruppattur R. Venkatachala Murthi,1959
Litt. & Edu.,PS,Shri Komaravolu Chandrasekharan,1959
Civil Service,PS,Shri Onkar Srinivasa Murthy,1959
Medicine,PS,Dr. Kalpathy Rama Iyer Doraiswami,1960
Civil Service,PB,Shri L. Aiyar Venkatakrishna Iyer,1961
Litt. & Edu.,PS,Shri Neyyadupakkam Duraiswami Sundaravadivelu,1961
Public Affairs,PB,Shri Moturi Satyanarayana,1962
Social Work,PB,Smt. Saundaram Ramachandran,1962
Litt. & Edu.,PB,Dr. Venkatarama Raghavan,1962
Sports,PS,Shri Ramanathan Krishnan,1962
Civil Service,PS,Shri Vellore Ponnurangam Appadurai,1962
Social Work,PS,Shri N. G. Ramaswami Iyer,1962
Litt. & Edu.,PB,Shri Trivenkata Rajendra Seshadri,1963
Civil Service,PS,Shri N. G.K. Murti,1963
Science & Eng.,PB,Shri T. Narayanayajwa Ramachandran,1964
Sports,PS,Shri Morapakam Josiam Gopalan,1964
Social Work,PS,Smt. S. Ambujammal,1964
Science & Eng.,PB,Dr. Kalpathi Ramakrishna Ramanathan,1965
Public Affairs,PB,Shri Krishnaswami Ayyar Balasubramania Ayyar,1965
Civil Service,PB,Air Vice Mar. Ramaswamy Rajaram,1965
Art,PS,Shri Vuppalathadiyam Nagayya,1965
Science & Eng.,PS,Prof. Mrityanjaya Vaidyanathan,1965
Public Affairs,PB,Shri T.S. Ramaswami Aiyar,1966
Art,PS,Shri Villupuram Chinnaiya Ganesan,1966
Art,PS,Smt. Bhanumati Ramakrishna,1966
Art,PS,Shri Eswara Iyer Krishna Iyer,1966
Litt. & Edu.,PB,Dr. T.M.Ponnambalam Mahadevan,1967
Social Work,PB,Smt. Tara Cherian,1967
Sports,PB,Shri Ramanathan Krishnan,1967
Medicine,PB,Maj. Gen. C.Kottieth Lakshmanan,1967
Trade & Ind.,PS,Shri Nagappa Chettiar,1967
Medicine,PS,Dr. Natteri Veeraraghavan,1967
Art,PS,Shri Vinjamuri Venkata Lakshmi Narasimha Rao,1967
Science & Eng.,PS,Dr. Monkombu Sambasivan Swaminathan,1967
Science & Eng.,PS,Dr. Guduru Venkata Chalam,1967
Litt. & Edu.,PB,Dr. Mariadas Ruthnaswamy,1968
Litt. & Edu.,PB,Shri Manchakkattuvalasu Palanivelappa Gounder Periaswamy Thooran,1968
Litt. & Edu.,PB,Shri Gopalan Narasimhan,1968
Social Work,PS,Dr. G. Narasimhan,1968
Science & Eng.,PS,Dr. Raja Ramanna,1968
Art,PS,Smt. Vaijayantimala,1968
Art,PB,Shri Semmangudi Srinivasa Iyer,1969
Art,PB,Shri Subramaniam Sreenivasan Vasan,1969
Trade & Ind.,PB,Shri Kasturiswami Sreenivasan,1969
Science & Eng.,PS,Dr. T. Venkatarama Mahalingam,1969
Litt. & Edu.,PS,Shri Srinivasa Natarajan,1969
Litt. & Edu.,PS,Shri Thiagarajan Muthian,1969
Trade & Ind.,PS,Shri K.S.A. Khader Ghulam Mohideen,1969
Litt. & Edu.,PS,Shri Vairamuthu Pillai Subbiah Pillai,1969
Social Work,PS,Smt. Rajam Ramaswami,1969
Science & Eng.,PB,Dr. Maharajapuram Sitaram Krishnan,1970
Science & Eng.,PB,Dr. Krishnaswami Ramiah,1970
Art,PB,Smt. Kamala,1970
Litt. & Edu.,PB,Shri T.S. Avinashillingam Chettiar,1970
Art,PS,Shri Ramaswamy Ganesan,1970
Art,PS,Shri T.R. Mahalingam,1970
Litt. & Edu.,PS,Dr. Chandran David S. Devanasan,1970
Art,PS,Shri M. Krishnan,1970
Art,PS,Smt. Kodumudi Balambal Sundarambal,1970
Art,PB,Smt. Damal Krishnaswami Pattamal,1971
Art,PB,Shri P Tiruvillvamalai Seshan M. Iyer,1971
Medicine,PB,Dr. Vulimiri Ramalingaswami,1971
Social Work,PB,Shri N. Ramaswami Ayyar,1971
Litt. & Edu.,PB,Shri Namakkal Venkatarama Ramalingam Pillai,1971
Art,PB,Shri Musiri Subramania Iyer,1971
Art,PB,Prof. Pichu Sambamoorthi,1971
Medicine,PS,Dr. Sundaram Krishnamurti,1971
Trade & Ind.,PS,Dr. Yelavarthy Nayudamma,1971
Social Work,PS,Shri Vaidyanatha Vaidyasubramanya Iyer,1971
Art,PS,Shri Trivandrum Kandaswami Pillai Shanmugam,1971
Medicine,PS,Dr. Krishnaswami Srinivasa Sanjivi,1971
Social Work,PS,Shri K. Venkataswami Naidu,1971
Art,PS,Shri Mangalampalli Balamurali Krishna,1971
Civil Service,PS,Shri Palanindy Kandaswamy,1971
Litt. & Edu.,PS,Shri S.G. Mahalingayyar Subramaniam,1971
Litt. & Edu.,PS,Shri Kothamanglam Subbu,1971
Art,PS,Shri K. Natesa Dhandayuthapani Pillai,1971
Public Affairs,PS,Shri Ramanatha Iyer Mathrubbotham,1971
Science & Eng.,PB,Dr. M.S. Swaminathan,1972
Civil Service,PB,Vice Adm. Nilkanta Krishnan,1972
Art,PB,Shri Papanasam Sivan,1972
Civil Service,PS,Shri P Ramanathan Rajgopal,1972
Art,PS,Shri Lalgudi Gopalaiyer Jayaraman,1972
Medicine,PS,Prof. Balasubramaniam Ramamurthi,1972
Art,PS,Shri Madras Kandaswamy Radha,1972
Litt. & Edu.,PS,Shri Mylai Ponnuswamy Sivagnanam,1972
Trade & Ind.,PS,Shri Mohan Mull Chordia,1972
Medicine,PS,Dr. (Miss) Mary Puthusseril Varghese,1972
Art,PS,Shri Vazhuvoor B. Ramiah Pillai,1972
Medicine,PS,Dr. Thayil John Cherian,1972
Trade & Ind.,PB,Dr. Raja M. Annamalai Muthiah Chettiar,1973
Science & Eng.,PB,Dr. Raja Ramanna,1973
Medicine,PS,Dr. Madampath Kalathil Krishna Menon,1973
Art,PS,Shri Chellasami Sirchabai Murugabhupathy,1973
Medicine,PS,Dr. Govindappa Venkataswamy,1973
Social Work,PS,Smt. Sarojini Varadappan,1973
Art,PS,Shri Tripunittura Narayanan Krishnan,1973
Civil Service,PS,Late Shri R.V. Ramaswamy,1973
Science & Eng.,PS,Dr. N. Kesava Panikkar,1973
Art,PS,Shri B.S. alias Balu Bhagvathar Sastrigal,1973
Civil Service,PS,Shri Venkataraman Krishnamurthy,1973
Science & Eng.,PB,Prof. Toppur Seethapathy Sadasivan,1974
Medicine,PB,Dr. Raman Viswanathan,1974
Medicine,PS,Dr. Kadiyala Ramachandra,1974
Public Affairs,PS,Smt. Jothi Vencatachellum,1974
Medicine,PS,Dr. Venkatarama Narayanaswami,1974
Art,PS,Shri Thiruvizhimazhalai Subramania Pillai,1974
Civil Service,PB,Dr. Pancheti Koteswaram,1975
Art,PS,Shri Madras Sundaram Iyer Gopalakrishnan,1975
Science & Eng.,PS,Dr. Rajagopala Chidambaram,1975
Science & Eng.,PS,Dr. Sekharipuram Narayana Aiyer Seshadri,1975
Civil Service,PB,Dr. Malcolm Sathianathan Adiseshiah,1976
Medicine,PB,Dr. Krishnaswami Srinivasa Sanjivi,1976
Art,PS,Shri Madurai S. Somasundaram,1976
Litt. & Edu.,PS,Dr. Manickam Narayanan,1976
Art,PS,Shri Palghat Kollengode Viswanath Narayanaswamy,1976
Civil Service,PS,Shri Govinda Pillai Unnikrishna Menon,1976
Litt. & Edu.,PB,Dr. Thenpattinam Ponnusamy Meenakshi Sundaran,1977
Medicine,PB,Prof. Balasubramanian Ramamurthi,1977
Art,PS,Sheik Chinna Moulana,1977
Science & Eng.,PB,Dr. Manali K. Vainu Bappu,1981
Art,PS,Shri Namagiripettai K. Krishnan,1981
