State/uT,2011-12
Andhra Pradesh,9.20
Arunachal Pradesh,34.67
Assam,31.98
Bihar,33.74
Chhattisgarh,39.93
Goa,5.09
Gujarat,16.63
Haryana,11.16
Himachal Pradesh,8.06
Jammu and Kashmir,10.35
Jharkhand,36.96
Karnataka,20.91
Kerala,7.05
Madhya Pradesh,31.65
Maharashtra,17.35
Manipur,36.89
Meghalaya,11.87
Mizoram,20.40
Nagaland,18.88
Odisha,32.59
Punjab,8.26
Rajasthan,14.71
Sikkim,8.19
Tamil Nadu,11.28
Tripura,14.05
Uttar Pradesh,29.43
Uttarakhand,11.26
West Bengal,19.98
Andaman and Nicobar Islands,1.00
Chandigarh,21.81
Dadra and Nagar Haveli,39.31
Daman and Diu,9.86
Delhi,9.91
Lakshadweep,2.77
Puducherry,9.69
All India (Total),21.92
Source: NITI Aayog,
