State/ut,Rural during 2011-12,Urban during 2011-12
Andhra Pradesh,1.60,0.87
Arunachal Pradesh,9.79,4.93
Assam,5.79,3.83
Bihar,6.24,6.80
Chhattisgarh,8.98,5.20
Goa,0.74,0.70
Gujarat,3.27,1.64
Haryana,2.08,1.76
Himachal Pradesh,1.03,0.76
Jammu and Kashmir,1.91,0.95
Jharkhand,6.88,4.85
Karnataka,3.26,3.09
Kerala,1.59,0.83
Madhya Pradesh,8.33,3.86
Maharashtra,4.65,1.55
Manipur,6.64,6.14
Meghalaya,1.58,1.46
Mizoram,7.51,0.62
Nagaland,3.75,1.76
Odisha,7.01,3.15
Punjab,1.18,1.56
Rajasthan,3.21,1.56
Sikkim,0.96,0.45
Tamil Nadu,2.47,1.10
Tripura,2.17,1.72
Uttar Pradesh,5.68,5.29
Uttarakhand,1.25,1.55
West Bengal,3.70,2.70
Andaman and Nicobar Islands,-,-
Chandigarh,-,-
Dadra and Nagar Haveli,-,-
Daman and Diu,-,-
Delhi,1.79,1.62
Lakshadweep,-,-
Puducherry,3.71,0.84
All India (Total),5.05,2.70
