State/ut,Households during 2015-16
Andhra Pradesh,74.60
Arunachal Pradesh,58.30
Assam,10.40
Bihar,12.30
Chhattisgarh,15.90
Goa,23.10
Gujarat,12.20
Haryana,25.70
Himachal Pradesh,5.70
Jammu and Kashmir,4.20
Jharkhand,13.30
Karnataka,28.10
Kerala,47.70
Madhya Pradesh,17.70
Maharashtra,15.00
Manipur,3.60
Meghalaya,34.60
Mizoram,45.80
Nagaland,6.10
Odisha,47.70
Punjab,21.20
Rajasthan,18.70
Sikkim,30.30
Tamil Nadu,64.00
Telangana,66.40
Tripura,58.10
Uttar Pradesh,6.10
Uttarakhand,19.50
West Bengal,33.40
Andaman and Nicobar Islands,-
Chandigarh,21.30
Dadra and Nagar Haveli,17.00
Daman and Diu,-
Delhi,15.70
Lakshadweep,2.90
Puducherry,32.80
All India (Total),28.70
