State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,3359727,3300647,2972584,2919377
Telangana,1993980,1903172,1820189,1900000
Arunachal Pradesh,256080,232781,213577,213577
Assam,4002122,4002122,4246222,3624973
Bihar,11554799,11554799,6104018,7374528
Chhattisgarh,2549025,2417189,2469528,2709800
Goa,74572,73661,71680,67633
Gujarat,4078738,3896879,3849595,3849595
Haryana,1284553,1201683,1147583,1102892
Himachal Pradesh,550672,550000,525316,494477
Jammu and Kashmir,387060,947538,864816,958059
Jharkhand,3621749,3978674,3392958,3462892
Karnataka,4991088,4991088,5092165,4844202
Kerala,1037426,888198,1006832,1119843
Madhya Pradesh,6996690,7693793,8051031,7997709
Maharashtra,7046423,6583227,6317563,6157897
Manipur,430186,430186,408192,408192
Meghalaya,554871,558819,572540,527998
Mizoram,133567,100890,183372,183372
Nagaland,348573,339016,333702,313176
Odisha,4609303,4609303,4643551,4643551
Punjab,1204835,1131742,857785,857785
Rajasthan,3662875,3615776,3482900,3542770
Sikkim,30712,30712,36500,30300
Tamil Nadu,3107933,3115934,3059310,3172640
Tripura,376380,382761,415933,401657
Uttar Pradesh,24061660,20229635,18216779,15940936
Uttarakhand,866459,842455,776827,774065
West Bengal,7965225,7752495,7438321,7277673
Andaman and Nicobar Islands,15938,14871,13189,11966
Chandigarh,61511,59502,55159,55778
Delhi,841520,841520,566950,551310
Dadra and Nagar Haveli,22588,22006,22886,22886
Daman and Diu,7411,7411,6601,6601
Lakshadweep,6318,6318,4598,4598
Puducherry,38715,35587,36181,35963
All India,102131284,98342390,89276933,87560671
