State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,87.0,93.5,87.8,91.4
Arunachal Pradesh,92.5,96.8,85.6,93.4
Assam,89.0,86.1,87.0,87.2
Bihar,75.0,74.9,75.6,77.2
Chhattisgarh,73.7,76.3,77.3,79.9
Goa,98.7,99.3,98.1,87.2
Gujarat,83.2,78.4,80.9,83.0
Haryana,80.2,79.4,80.2,79.0
Himachal Pradesh,89.0,90.6,91.1,91.6
Jammu And Kashmir,88.4,86.6,86.8,87.3
Jharkhand,85.5,78.9,70.3,75.4
Karnataka,72.2,81.0,84.1,85.5
Kerala,89.3,89.4,88.0,89.3
Madhya Pradesh,86.0,77.3,79.7,78.1
Maharashtra,86.3,85.0,86.4,86.1
Manipur,98.1,98.8,96.5,95.5
Meghalaya,97.7,97.6,97.3,97.9
Mizoram,100.0,99.9,99.9,99.9
Nagaland,99.4,99.1,98.2,95.1
Odisha,84.3,80.8,84.8,85.8
Punjab,85.0,82.8,81.6,76.1
Rajasthan,85.5,86.0,85.1,83.2
Sikkim,95.4,95.5,94.2,93.1
Tamil Nadu,98.0,98.0,98.8,94.1
Telangana,79.4,84.2,77.1,84.5
Tripura,97.0,96.4,94.4,95.7
Uttar Pradesh,83.3,83.2,84.2,84.0
Uttarakhand,90.2,88.5,90.1,90.4
West Bengal,89.5,87.8,87.6,88.3
Andaman And Nicobar,95.8,98.4,92.5,84.8
Dadra and Nagar Haveli,-,-,-,-
Daman and Diu,-,-,-,-
Lakshadweep,89.4,100.0,56.1,91.2
Puducherry,83.9,84.5,83.8,84.5
All India,85.5,85.3,84.7,85.2
