,2017-18,2018-19
Andhra Pradesh,92.86,92.10
Arunachal Pradesh,91.09,87.60
Assam,92.32,93.20
Bihar,71.11,81.90
Chhattisgarh,88.72,89.70
Goa,97.60,95.10
Gujarat,95.08,95.40
Haryana,97.79,96.80
Himachal Pradesh,94.24,95.90
Jammu and Kashmir,90.74,89.60
Jharkhand,85.50,85.70
Karnataka,94.62,95.70
Kerala,96.25,94.20
Madhya Pradesh,94.47,95.80
Maharashtra,89.65,90.30
Manipur,85.85,75.20
Meghalaya,-,96.20
Mizoram,94.30,96.90
Nagaland,-,91.90
Odisha,71.43,-
Punjab,96.57,95.60
Rajasthan,94.56,93.10
Sikkim,91.77,96.30
Tamil Nadu,,89.70
Telangana,,0.00
Tripura,87.10,93.20
Uttar Pradesh,91.49,92.40
Uttarakhand,95.27,93.50
West Bengal,87.58,86.70
Andaman & Nicobar Islands,97.59,97.90
Chandigarh,98.37,96.40
Dadra and Nagar Haveli,93.15,89.70
Daman and Diu,90.63,80.30
Delhi,95.71,94.60
Lakshadweep,82.04,84.30
Pondicherry,97.43,94.00
All India (Total),91.66,92.17
