State/ut,Number of beneficiaries during 2016-17,Number of beneficiaries during 2017-18
Andhra Pradesh,3450,2800
Arunachal Pradesh,0,0
Assam,800,625
Bihar,100,75
Chhattisgarh,0,75
Goa,0,0
Gujarat,25,50
Haryana,650,800
Himachal Pradesh,175,150
Jammu and Kashmir,0,0
Jharkhand,0,0
Karnataka,1025,1375
Kerala,200,100
Madhya Pradesh,150,175
Maharashtra,1300,1350
Manipur,1275,1100
Meghalaya,0,0
Mizoram,50,50
Nagaland,0,75
Odisha,6975,3700
Punjab,325,150
Rajasthan,25,75
Sikkim,0,0
Tamil Nadu,2500,2525
Telangana,550,675
Uttar Pradesh,75,100
Uttarakhand,900,800
West Bengal,175,125
Tripura,1250,1300
Andaman and Nicobar Islands,0,0
Chandigarh,0,0
Dadra and Nagar Haveli,0,0
Daman and Diu,0,0
Delhi,75,100
Lakshadweep,0,0
Puducherry,0,0
All India (Total),22050,18350
