State name,Household electrification (%)
Andhra Pradesh,100
Arunachal Pradesh,100
Assam,100
Bihar,100
Chhattisgarh,99.67
Goa,100
Gujarat,100
Haryana,100
Himachal Pradesh,100
Jammu and Kashmir,100
Jharkhand,100
Karnataka,100
Kerala,100
Madhya Pradesh,100
Maharashtra,100
Manipur,100
Meghalaya,100
Mizoram,100
Nagaland,100
Odisha,100
Puducherry,100
Punjab,100
Rajasthan,100
Sikkim,100
Tamil Nadu,100
Telangana,100
Tripura,100
Uttar Pradesh,100
Uttarakhand,100
West Bengal,100
Total,99.99
Source: Ministry of Power,
