,Total,Rural,Urban
Andhra Pradesh,0.17,0.12,0.27
Arunachal Pradesh,0.11,0.12,0.10
Assam,0.04,0.04,0.06
Bihar,0.04,0.04,0.11
Chhattisgarh,0.09,0.09,0.11
Delhi,0.28,0.08,0.29
Goa,0.21,0.25,0.19
Gujarat,0.24,0.17,0.33
Haryana,0.20,0.17,0.27
Himachal Pradesh,0.06,0.05,0.13
Jammu and Kashmir,0.15,0.09,0.32
Jharkhand,0.07,0.07,0.09
Karnataka,0.13,0.11,0.15
Kerala,0.04,0.02,0.05
Madhya Pradesh,0.20,0.15,0.33
Maharashtra,0.19,0.16,0.22
Manipur,0.11,0.09,0.16
Meghalaya,0.04,0.04,0.03
Mizoram,0.01,0.01,0.02
Nagaland,0.04,0.04,0.06
Odisha,0.08,0.06,0.20
Punjab,0.17,0.16,0.18
Rajasthan,0.26,0.21,0.43
Sikkim,0.05,0.05,0.02
Tamil Nadu,0.07,0.04,0.11
Tripura,0.09,0.07,0.14
Uttar Pradesh,0.16,0.10,0.41
Uttarakhand,0.12,0.09,0.18
West Bengal,0.15,0.05,0.36
Andaman & Nicobar Islands,0.02,0.01,0.05
Chandigarh,0.39,0.02,0.40
Dadra and Nagar Haveli,0.29,0.39,0.17
Daman and Diu,0.30,0.24,0.32
Lakshadweep,0,0,0
Puducherry,0.13,0.02,0.18
All India (Total),0.15,0.1,0.25
"Source: Census, Office of Registrar General of India, Ministry of Home Affairs",,,
