State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,1835.93,1953.23,2001.22,1761.81
Arunachal Pradesh,905.97,1030.62,1104.57,1037.47
Assam,1105.74,1321.55,1390.11,1204.52
Bihar,842.76,977.87,1050.69,5.20
Chhattisgarh,1154.41,1626.18,1383.48,1393.56
Goa,3845.71,3994.40,3980.26,563.40
Gujarat,1363.85,1489.00,1508.54,9.19
Haryana,1691.32,1839.13,1908.41,147.39
Himachal Pradesh,1724.67,1865.04,1942.50,7054.21
Jammu and Kashmir,1416.84,1559.36,1663.17,1002.80
Jharkhand,1084.93,1224.49,1308.14,3397.48
Karnataka,1790.32,1922.27,2000.84,1911.65
Kerala,2040.09,2112.28,2253.24,2099.68
Madhya Pradesh,1179.49,1291.09,1339.60,1295.33
Maharashtra,1651.20,1792.06,1898.84,47.64
Manipur,738.27,879.28,964.28,890.65
Meghalaya,820.71,921.33,940.40,887.76
Mizoram,1053.82,1211.36,1284.26,1196.05
Nagaland,628.61,708.37,741.89,693.13
Odisha,1251.99,1418.45,1501.03,1048.54
Punjab,1926.51,2098.93,2178.20,729.36
Rajasthan,1089.53,1180.11,1250.06,663.91
Sikkim,1454.64,1599.39,1639.32,94277.44
Tamil Nadu,2026.38,2154.07,2346.66,1.33
Telangana,1884.17,2126.97,2041.33,1837.97
Tripura,1564.49,1727.71,1820.82,1357.98
Uttar Pradesh,1130.60,1210.38,1247.00,87.25
Uttarakhand,1646.12,1797.78,1855.47,24444.99
West Bengal,1383.43,1569.37,1638.00,10.68
Andaman and Nicobar Islands,1529.78,1603.04,1637.19,372161.75
Chandigarh,3636.02,3840.64,3883.22,50925.56
Dadra and Nagar Haveli,1615.43,1773.68,1630.78,188131.18
Daman and Diu,1606.16,1722.11,1647.94,500980.82
Delhi,2624.83,2772.71,2782.84,4674.42
Lakshadweep,1462.00,1336.39,1368.43,42250.01
Puducherry,2084.61,2174.33,2235.35,95255.43
All India (Total),1413.31,1549.71,1610.56,1490.66
Source: RBI & ORGI,,,,
