State/ut,Percentage of household with toilet facility during 2015-16
Andaman and Nicobar Islands,53.77
Andhra Pradesh,42.51
Arunachal Pradesh,63.68
Assam,54.01
Bihar,24.35
Chandigarh,
Chhattisgarh*,48.30
Dadra and Nagar Haveli,
Daman and Diu,
Goa,76.08
Gujarat,70.64
Haryana,86.29
Himachal Pradesh,94.92
Jammu and Kashmir,32.84
Jharkhand,36.72
Karnataka,56.07
Kerala,96.31
Lakshadweep,
Madhya Pradesh,42.27
Maharashtra,62.13
Manipur,76.47
Meghalaya,78.17
Mizoram,81.16
Nagaland,63.57
Odisha,25.84
Puducherry,50.01
Punjab,77.32
Rajasthan,53.42
Sikkim,99.90
Tamil Nadu,59.24
Telangana,37.26
Tripura,72.84
Uttar Pradesh,41.98
Uttarakhand,80.04
West Bengal,73.94
India,50.90
"Source: Ministry of JalShakti , Department of Drinking Water & Sanitation",
