State/ut,Rural,,Urban,
,"Bottom 40% of 
population",Total population,"Bottom 40% of 
population",Total population
Andhra Pradesh,27.32,21.08,16.30,0.77
Arunachal Pradesh,-8.63,-1.84,-0.81,14.49
Assam,5.30,3.45,8.77,4.76
Bihar,26.27,23.01,10.73,2.23
Chhattisgarh,13.42,11.60,-14.94,-4.78
Goa,-9.25,-0.69,-6.33,-3.11
Gujarat,16.56,17.86,23.83,13.54
Haryana,25.63,22.75,23.15,38.08
Himachal Pradesh,8.94,12.81,34.41,3.11
Jammu and Kashmir,7.27,10.45,11.82,18.62
Jharkhand,6.71,3.79,17.19,7.01
Karnataka,29.18,30.32,6.80,23.74
Kerala,15.11,23.86,16.28,18.64
Madhya Pradesh,12.00,8.72,8.38,3.75
Maharashtra,17.94,19.63,21.80,9.90
Manipur,12.48,24.53,10.65,12.58
Meghalaya,10.15,13.18,31.17,25.58
Mizoram,1.24,10.91,9.55,10.73
Nagaland,15.81,18.82,3.50,3.04
Odisha,9.87,4.33,4.23,5.25
Punjab,23.13,21.11,19.52,11.26
Rajasthan,12.51,15.37,24.78,23.32
Sikkim,14.97,0.86,4.36,1.84
Tamil Nadu,18.30,24.34,14.27,13.06
Telangana,,,,
Tripura,-6.31,-3.37,-0.61,-3.76
Uttar Pradesh,6.37,9.51,8.12,9.44
Uttarakhand,16.56,-15.88,14.35,12.56
West Bengal,13.20,15.43,12.05,10.74
"Andaman and Nicobar 
Islands",8.96,19.51,25.25,35.87
Chandigarh,-20.60,0.70,-19.97,-26.28
Dadra and Nagar Haveli,-4.83,4.50,14.70,28.43
Daman and Diu,31.97,30.79,22.80,15.13
Delhi,22.10,13.73,4.83,4.35
Lakshadweep,43.92,38.85,7.10,15.62
Puducherry,12.55,13.14,14.62,0.38
All India (Total),13.61,15.59,13.35,11.27
"Source: National Sample Survey, NSO, Ministry of Statistics and Programme Implementation",,,,
