State/ut,Rural,,Urban,
,"50% of median 
household mPCE 
(in Rs.)","Percentage of 
people living below 
50% of median 
household mPCE","50% of median 
household mPCE 
(in Rs.)","Percentage of 
people living below 
50% of median 
household mPCE"
Andhra Pradesh (undivided),760.67,2.33,1109.70,7.36
Arunachal Pradesh,668.22,8.07,1046.43,17.37
Assam,539.41,1.53,913.20,11.80
Bihar,515.88,1.83,608.55,4.46
Chhattisgarh,458.75,3.45,696.48,10.45
Goa,1106.67,1.33,1351.07,7.42
Gujarat,667.14,2.54,1134.11,7.53
Haryana,942.20,5.10,1315.85,9.37
Himachal Pradesh,848.53,4.26,1358.70,8.83
Jammu and Kashmir,769.49,3.51,1016.43,7.21
Jharkhand,468.72,2.85,880.05,11.94
Karnataka,659.87,0.65,1111.21,13.17
Kerala,997.52,5.53,1182.84,7.47
Madhya Pradesh,493.51,4.87,772.72,8.35
Maharashtra,691.48,2.78,1215.82,6.94
Manipur,672.20,0.07,679.97,0.98
Meghalaya,672.46,1.90,1134.55,8.31
Mizoram,729.90,3.75,1213.55,8.30
Nagaland,912.07,0.00,1076.25,6.86
Odisha,445.41,2.34,705.95,7.77
Punjab,987.38,3.27,1131.48,7.02
Rajasthan,702.94,3.91,987.02,7.10
Sikkim,678.50,0.00,1184.71,2.27
Tamil Nadu,721.20,6.04,1032.10,7.28
Telangana,,,,
Tripura,593.02,1.16,870.25,3.92
Uttar Pradesh,724.94,0.64,981.23,8.99
Uttarakhand,502.10,2.60,714.19,6.38
West Bengal,569.14,2.34,976.35,11.39
"Andaman and Nicobar 
Islands",1096.75,2.49,1812.82,5.37
Chandigarh,1121.19,1.40,1206.78,11.97
Dadra and Nagar Haveli,485.39,0.00,1085.66,9.26
Daman and Diu,1002.61,0.00,1141.51,10.79
Delhi,1170.87,2.86,1227.09,6.11
Lakshadweep,1240.15,3.41,1163.57,0.00
Puducherry,1014.34,4.18,1364.52,7.52
All India (Total),598.89,4.28,1009.60,10.89
"Source: National Sample Survey, NSO, Ministry of Statistics and Programme Implementation",,,,
