,Storage loss (%),,,,Transit loss (%),,,
State/uT,2015-16,2016-17,2017-18,2018-19,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,0.11,0.05,0.01,0.13,0.20,0.18,0.19,0.27
Arunachal Pradesh,0.12,0.42,0.11,0.20,0.73,0.20,0.46,0.66
Assam,0.18,0.08,0.14,0.47,0.87,0.53,0.69,0.63
Bihar,0.18,0.03,0.04,0.07,0.41,0.37,0.35,0.39
Chhattisgarh,0.32,0.20,0.26,0.27,0.40,0.09,0.27,0.31
Delhi,0.15,0.00,0.01,0.10,0.28,0.14,0.22,0.23
Gujarat,0.08,0.08,0.02,0.06,0.15,0.22,0.19,0.24
Haryana,-0.26,-0.59,-0.45,-0.43,0.00,0.13,0.00,0.00
Himachal Pradesh,-0.01,-0.02,0.01,-0.03,0.00,0.01,0.00,0.00
Jammu and Kashmir,0.01,0.04,0.03,0.06,0.40,0.21,0.33,0.42
Jharkhand,0.18,0.10,0.10,0.11,0.48,0.29,0.37,0.32
Karnataka,0.14,0.26,0.13,0.16,0.38,0.40,0.36,0.33
Kerala,0.06,0.06,0.03,0.05,0.29,0.14,0.22,0.29
Madhya Pradesh,-0.95,-0.90,-0.92,-0.86,0.00,0.42,0.00,0.32
Maharashtra,0.26,0.33,0.25,0.19,0.41,0.38,0.34,0.36
Manipur,0.03,*,0.08,0.06,0.00,*,0.80,0.66
Nagaland,0.16,0.15,0.10,0.14,0.70,0.39,0.68,0.72
NEF Shillong,0.17,0.07,0.10,0.11,0.86,0.24,0.70,0.76
Odisha,0.14,0.06,0.06,0.04,0.36,0.27,0.41,0.35
Punjab,-0.15,-0.35,-0.12,-0.14,0.00,0.49,0.00,0.00
Rajasthan,-0.28,-0.28,-0.48,-0.33,0.05,0.05,0.12,0.08
Tamil Nadu,0.15,0.16,0.08,0.10,0.20,0.20,0.15,0.17
Uttar Pradesh,0.21,0.16,-0.04,-0.12,0.43,0.33,0.32,0.30
Uttarakhand,0.11,0.08,0.05,0.05,0.40,0.02,0.00,0.00
West Bengal,0.06,0.03,0.00,-0.01,0.38,0.37,0.29,0.28
All India (Total),-0.04,-0.11,-0.09,-0.12,0.39,0.30,0.32,0.34
"Source: Ministry of Consumer Affairs, Food and Public Distribution 
Note : *Manipur data is included in Nagaland",,,,,,,,
