State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,60.24,58.26,58.80,59.61
Arunachal Pradesh,78.57,-,-,0.00
Assam,69.74,66.46,62.24,66.64
Bihar,73.65,69.80,67.16,68.58
Chhattisgarh,61.29,57.76,59.96,56.46
Goa,48.97,48.80,42.35,43.64
Gujarat,72.64,71.27,70.00,71.03
Haryana,76.97,75.08,76.27,75.84
Himachal Pradesh,65.04,61.18,63.57,62.89
Jammu and Kashmir,67.24,61.40,60.44,62.49
Jharkhand,72.57,76.88,52.05,70.08
Karnataka,55.15,53.82,55.05,52.61
Kerala,48.55,43.55,57.12,39.67
Madhya Pradesh,62.74,64.19,62.65,63.04
Maharashtra,53.25,54.96,51.28,50.70
Manipur,69.53,68.47,54.60,52.85
Meghalaya,-,-,-,0.00
Mizoram,69.40,75.68,100.00,64.23
Nagaland,47.41,47.35,47.37,-
Odisha,62.96,61.18,60.54,60.63
Punjab,74.46,76.80,79.08,78.89
Rajasthan,69.83,73.69,71.62,70.62
Sikkim,-,-,-,-
Tamil Nadu,59.66,56.55,57.47,49.22
Telangana,66.65,67.51,64.43,6.60
Tripura,42.95,54.23,58.37,0.00
Uttar Pradesh,69.27,67.82,69.27,73.72
Uttarakhand,84.97,80.98,82.18,78.35
West Bengal,51.90,51.90,48.15,50.20
"Andaman and Nicobar 
Islands",-,36.88,35.23,46.99
Chandigarh,-,-,-,-
Dadra and Nagar Haveli,64.77,58.97,58.82,65.20
Daman and Diu,87.50,87.50,100.00,93.34
Delhi,92.28,95.94,77.44,89.01
Lakshadweep,-,-,-,-
Puducherry,72.48,72.48,72.48,71.63
All India (Total),64.94,64.49,63.77,64.39
"Source: Department of Agriculture, Cooperation & Farmers Welfare Ministry of Agriculture and 
Note: ‘-‘refers, data is not available",,,,
