State/ut,Year 2015,Year 2017,Year 2019
Andhra Pradesh,15.25,17.27,17.88
Arunachal Pradesh,80.30,79.96,79.63
Assam,35.22,35.83,36.11
Bihar,7.74,7.75,7.76
Chhattisgarh,41.12,41.09,41.13
Delhi,12.73,12.97,13.18
Goa,60.08,60.21,60.43
Gujarat,7.48,7.52,7.57
Haryana,3.58,3.59,3.62
Himachal Pradesh,26.40,27.12,27.72
Jammu and Kashmir,10.34,10.46,10.62
Jharkhand,29.45,29.55,29.62
Karnataka,18.99,19.58,20.11
Kerala,49.50,52.30,54.42
Madhya Pradesh,25.13,25.11,25.14
Maharashtra,16.45,16.47,16.50
Manipur,76.11,77.69,75.46
Meghalaya,76.76,76.45,76.33
Mizoram,88.93,86.27,85.41
Nagaland,78.21,75.33,75.31
Odisha,32.34,32.98,33.15
Punjab,3.52,3.65,3.67
Rajasthan,4.73,4.84,4.86
Sikkim,47.31,47.13,47.10
Tamil Nadu,20.26,20.21,20.27
Telangana,18.80,18.22,18.36
Tripura,74.49,73.68,73.68
Uttar Pradesh,6.00,6.09,6.15
Uttarakhand,45.32,45.43,45.44
West Bengal,18.96,18.98,19.04
Andaman and Nicobar Islands,81.84,81.73,81.74
Chandigarh,19.32,18.91,19.32
Dadra and Nagar Haveli,41.96,42.16,42.16
Daman and Diu,17.51,18.46,18.46
Lakshadweep,84.56,90.33,90.33
Puducherry,11.54,10.95,10.70
All India (Total),21.35,21.54,21.67
Source: Ministry of Environment Forest and Climate Change,,,
