State/ut,2013-15,2015-17,2017-19
Andhra Pradesh,0.28,8.23,3.52
Arunachal Pradesh,-0.11,-0.28,-0.41
Assam,-0.17,2.06,0.79
Bihar,-0.04,0.62,0.10
Chattisgarh,-0.06,-0.02,0.12
Delhi,5.00,1.93,1.57
Goa,0.23,0.86,0.36
Gujarat,0.05,0.32,0.68
Haryana,-0.13,0.51,0.88
Himachal Pradesh,0.09,2.67,2.21
Jammu and Kashmir,2.00,1.10,1.60
Jharkhand,0.02,0.12,0.25
Karnataka,0.80,3.02,2.73
Kerala,7.35,5.41,4.05
Madhya Pradesh,-0.08,-0.02,0.09
Maharashtra,-0.01,-0.03,0.19
Manipur,0.02,1.54,-2.88
Meghalaya,-0.41,-0.67,-0.16
Mizoram,-1.61,-2.84,-0.99
Nagaland,-0.60,-3.48,-0.02
Odisha,0.01,1.75,0.53
Punjab,-0.06,3.73,0.65
Rajasthan,0.53,2.89,0.35
Sikkim,-0.03,-0.27,-0.06
Tamil Nadu,10.49,0.28,0.32
Telangana,-0.77,2.85,0.80
Tripura,-0.70,-2.08,0.00
Uttar Pradesh,0.78,1.93,0.87
Uttarakhand,-1.09,0.09,0.03
West Bengal,0.14,0.12,0.33
Andaman and Nicobar Islands,0.60,-0.13,0.01
Chandigarh,27.64,-0.46,2.18
Dadra and Nagar Haveli,-3.29,0.49,0.00
Daman and Diu,117.89,4.49,0.00
Lakshadweep,0.22,0.15,0.00
Puducherry,10.63,-5.76,-2.35
All India (Total),0.54,0.97,0.56
"Source: India State Of Forest Report, Forest Survey of India, MoEF&CC",,,
