States/ut,2015,2016,2017,2018
Andaman and Nicobar Islands,NA,NA,2,NA
Andhra Pradesh,48,39,13,10
Arunachal Pradesh,2,6,2,NA
Assam,17,7,3,28
Bihar,6,12,NA,NA
Chandigarh,NA,7,4,NA
Chhattisgarh,28,42,40,27
Dadra and Nagar Haveli,NA,NA,NA,NA
Daman and Diu,NA,NA,NA,NA
Delhi,24,11,1,NA
Goa,11,11,3,NA
Gujarat,41,58,44,17
Haryana,NA,1,NA,NA
Himachal Pradesh,8,19,15,11
Jammu and Kashmir,1,NA,NA,NA
Jharkhand,4,1,6,NA
Karnataka,38,17,28,7
Kerala,20,26,33,16
Lakshadweep,1,NA,NA,NA
Madhya Pradesh,23,21,18,7
Maharashtra,12,19,10,14
Manipur,18,11,1,NA
Meghalaya,6,NA,1,NA
Mizoram,24,6,4,1
Nagaland,1,3,NA,1
Odisha,51,13,8,NA
Puducherry,NA,NA,NA,NA
Punjab,14,13,12,17
Rajasthan,18,9,1,1
Sikkim,NA,NA,NA,NA
Tamil Nadu,67,40,25,1
Telangana,6,16,6,3
Tripura,NA,1,NA,NA
Uttar Pradesh,98,100,31,30
Uttrakhand,8,23,27,16
West Bengal,103,33,4,NA
All India,698,565,342,207
"Source: Ministry of Environment Forest and Climate Change 
Note: ‘NA’ refers to Under compilation",,,,
