"State/ut-wise number of victims reported under intentional homicide ( murder (sec. 302 ipc)) per 1,00,000 population during the year",,,,
State/uT,2015,2016,2017,2018
Andhra Pradesh,2.23,2.31,2.17,1.92
Arunachal Pradesh,4.69,3.35,5.48,4.55
Assam,4.2,3.45,3.45,3.66
Bihar,3.09,2.26,2.42,2.52
Chhattisgarh,3.74,4.35,3.58,3.39
Goa,1.78,1.98,2.03,1.89
Gujarat,1.97,1.8,1.53,1.69
Haryana,3.76,3.95,3.83,4.01
Himachal Pradesh,1.54,1.44,1.38,1.39
Jammu and Kashmir,1.37,1.27,1.57,1.58
Jharkhand,4.65,4.22,4.4,4.63
Karnataka,2.68,2.55,2.31,2.17
Kerala,1,1.24,0.94,0.88
Madhya Pradesh,3.09,2.61,2.44,2.34
Maharashtra,2.18,2.01,1.83,1.87
Manipur,3.97,2.62,2.46,1.69
Meghalaya,5.53,3.51,2.81,3.06
Mizoram,4.72,2.84,1.88,2.28
Nagaland,2.46,2.2,1.85,1.83
Odisha,3.53,3.13,2.94,3.2
Punjab,2.57,2.75,2.41,2.44
Rajasthan,2.2,2.11,1.97,1.98
Sikkim,2.66,2.94,1.99,1.82
Tamil Nadu,2.65,2.25,2.15,2.16
Telangana,3.31,2.92,2.41,2.2
Tripura,3.95,3.84,3.31,3.56
Uttar Pradesh,2.25,2.33,2.17,1.99
Uttarakhand,1.82,1.8,1.75,1.98
West Bengal,2.29,2.22,2.12,2.02
"Andaman and Nicobar 
Islands",3.45,3.57,2.28,3.03
Chandigarh,1.38,2.28,2.16,1.71
Dadra and Nagar Haveli,2.38,1.08,1.01,1.33
Daman and Diu,1.25,1.18,1.91,1.52
Delhi,2.86,2.9,2.66,2.85
Lakshadweep,0,0,0,1.49
Puducherry,2,2.69,2.07,1.96
Total (All India),2.63,2.44,2.3,2.28
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
