"State/ut-wise victims reported under physical, psychological or sexual violence during",,,,
State/uT,2015,2016,2017,2018
Andhra Pradesh,59.65,59.18,116.44,108.17
Arunachal Pradesh,90.18,67.4,79.91,75.95
Assam,130.33,112.7,153.23,174.69
Bihar,43.26,38.58,109.66,122.81
Chhattisgarh,62.88,65.29,110.33,118.52
Goa,53.23,66.34,86.02,81.81
Gujarat,39.74,37.01,44.45,48.78
Haryana,76.3,78.96,117.33,129.04
Himachal Pradesh,48.83,45.04,82.69,93.89
Jammu and Kashmir,42.94,36.05,59.51,72.43
Jharkhand,45.76,36.31,56.92,66.63
Karnataka,58.93,59.54,94.29,84.12
Kerala,59.29,62.48,119.39,117.58
Madhya Pradesh,66.43,67.46,184.65,153.29
Maharashtra,56.7,56.67,82.43,89.3
Manipur,41.86,32.56,36.92,28.64
Meghalaya,44.86,35.42,39.76,38.28
Mizoram,65.21,50.26,47.1,42.82
Nagaland,14.69,18.07,17.46,15.65
Odisha,76.27,78.43,88.4,93.92
Punjab,50.94,49.78,59.66,60.18
Rajasthan,65.83,61.31,94.34,95.87
Sikkim,56.54,74.61,82.21,73.44
Tamil Nadu,45.04,40.1,101.52,86.29
Telangana,77.49,79.1,155.3,135.55
Tripura,78.86,66.89,68.96,86.02
Uttar Pradesh,39.1,48.33,65.61,73.27
Uttarakhand,30.97,31.74,45.21,52.6
West Bengal,83.56,84.83,97.61,94.65
"Andaman and Nicobar 
Islands",51.28,67.86,79.19,99.49
Chandigarh,48.79,71.17,76.54,69.15
Dadra and Nagar Haveli,30.86,24.41,23.89,28
Daman and Diu,42.99,41.89,33.79,36.46
Delhi UT,137.04,134.03,136.2,137.99
Lakshadweep,13.75,25.37,40.3,35.82
Puducherry,28.69,43.03,92.26,79.54
Total (All India),58.62,58.34,96.2,96.87
"Source:National Crime Records Bureau, Ministry of Home Affairs",,,,
