State/ut,2015,2016,2017,2018
Andhra Pradesh,1.94,1.72,0.77,0.87
Arunachal Pradesh,0.38,0.07,0,0.27
Assam,0.54,0.28,0.79,0.78
Bihar,0.24,0.21,0.39,0.53
Chhattisgarh,0.89,1.17,0.82,0.97
Goa,325.89,5.68,4.92,6.65
Gujarat,0.72,0.88,0.03,0.04
Haryana,0.46,0.39,0.08,0.11
Himachal Pradesh,1.86,2.17,0.17,0.15
Jammu and Kashmir,0.02,0,0.01,0.01
Jharkhand,0.55,0.13,0.43,0.43
Karnataka,1.29,1.57,0.37,0.31
Kerala,0.23,1.77,0.65,0.45
Madhya Pradesh,4.46,6.08,0.19,0.12
Maharashtra,1.28,0.96,0.53,0.65
Manipur,0.12,0.7,0.85,0.16
Meghalaya,0.04,0.26,0.09,0.22
Mizoram,0,0.17,0,0.25
Nagaland,0.08,0,0,0
Odisha,0.63,1.15,0.55,0.58
Punjab,0.36,0.12,0.02,0.07
Rajasthan,7.16,7.73,1.19,0.49
Sikkim,0,0.15,0.77,0.61
Tamil Nadu,1.95,3.17,0.26,0.09
Telangana,2.42,0.97,1.04,1.37
Tripura,0.13,0.26,0.48,0.05
Uttar Pradesh,0.02,0.43,0.03,0.04
Uttarakhand,0.35,0.2,0.36,0.52
West Bengal,1.95,2.93,0.56,0.26
"Andaman and Nicobar 
Islands",0,1.28,0,0
Chandigarh,1.61,0.09,0,0
Dadra and Nagar Haveli,0,0,0,0
Daman and Diu,0.63,2.95,0.82,0
Delhi,2.73,1.4,2.51,2.16
Lakshadweep,0,0,0,0
Puducherry,0.06,0,0.14,0
Total,1.99,1.79,0.44,0.4
"Source: (a) Numerator: National Crime Records Bureau, Ministry of Home Affairs (b) Denominator: Office of Registrar General of India, 
Ministry of Home Affairs",,,,
