State/ut,2015,2016,2017,2018
Andhra Pradesh,12.71,11.79,15.30,17.89
Arunachal Pradesh,38.51,28.30,29.36,39.57
Assam,23.84,33.34,41.64,49.04
Bihar,4.28,8.78,12.03,17.29
Chhattisgarh,44.47,47.22,64.86,72.23
Goa,46.54,44.23,37.69,38.65
Gujarat,17.52,17.59,19.12,24.93
Haryana,35.15,33.39,44.92,53.88
Himachal Pradesh,22.08,21.62,24.44,44.12
Jammu and Kashmir,6.84,4.93,7.98,11.47
Jharkhand,3.09,5.45,9.48,11.36
Karnataka,20.22,22.74,30.07,34.61
Kerala,25.52,30.82,38.14,47.75
Madhya Pradesh,42.75,45.70,63.29,64.41
Maharashtra,36.78,38.46,44.70,52.52
Manipur,11.46,13.96,11.35,14.27
Meghalaya,25.70,24.00,37.90,39.60
Mizoram,50.27,50.81,59.46,60.81
Nagaland,9.10,11.64,13.88,12.09
Odisha,18.25,23.40,22.69,37.41
Punjab,20.94,21.01,24.32,27.26
Rajasthan,12.93,14.13,18.15,18.52
Sikkim,32.00,55.00,95.00,126.00
Tamil Nadu,12.96,14.14,17.47,25.13
Telangana,24.15,26.04,32.05,36.11
Tripura,20.56,22.10,22.26,22.98
Uttar Pradesh,12.89,18.15,21.61,23.66
Uttarakhand,16.49,17.56,21.53,54.29
West Bengal,16.90,23.85,22.31,21.74
Andaman and Nicobar Islands,72.86,61.43,85.00,125.00
Chandigarh,67.75,55.50,68.75,72.00
Dadra and Nagar Haveli,26.92,16.15,23.85,29.23
Daman and Diu,31.11,34.44,26.67,38.89
Delhi,169.45,146.04,140.21,166.00
Lakshadweep,10.00,25.00,20.00,40.00
Puducherry,11.91,15.11,16.17,18.94
TOTAL (ALL INDIA),21.12,23.99,28.94,33.74
"Source: (a) Numerator: National Crime Records Bureau, Ministry of Home Affairs (b) Denominator: Office of Registrar General of India, 
Ministry of Home Affairs",,,,
