Item,,,2016,,2017,20182019,,
Number of Sanctioned Strength of judges in SC and HC,,,1110,,1110,"1110
1110",,
Number of Sanctioned Strength of judges in District & Sub-ordinate courts,,,22288,,22474,"22644
23235",,
Total judges,,,23398,,23584,"23754
24345",,
Mid-year projected population (in lakh),,,12739.86,,12885.22,"13028.96
13170.13",,
Number of courts per lakh population,,,1.84,,1.83,"1.82
1.85",,
Source : Ministry of Law & Justice,,,,,,,,
State/uT,(courts per lakh population),,,,,,,
,2016,2017,,2018,,,2019,
Andhra Pradesh and Telangana,0.012,0.011,,0.011,,,0.011,
Arunachal Pradesh,0.020,0.021,,0.022,,,0.024,
Assam,0.013,0.013,,0.013,,,0.013,
Bihar,0.017,0.017,,0.017,,,0.017,
Chhattisgarh,0.015,0.015,,0.017,,,0.017,
Goa,0.029,0.027,,0.024,,,0.023,
Gujarat,0.024,0.023,,0.023,,,0.023,
Haryana,0.023,0.023,,0.023,,,0.023,
Himachal Pradesh,0.022,0.022,,0.022,,,0.023,
Jammu and Kashmir,0.020,0.020,,0.024,,,0.024,
Jharkhand,0.020,0.020,,0.020,,,0.019,
Karnataka,0.021,0.021,,0.021,,,0.020,
Kerala,0.014,0.015,,0.014,,,0.015,
Madhya Pradesh,0.026,0.025,,0.023,,,0.025,
Maharashtra,0.017,0.017,,0.016,,,0.017,
Manipur,0.013,0.019,,0.021,,,0.021,
Meghalaya,0.020,0.034,,0.034,,,0.034,
Mizoram,0.059,0.058,,0.062,,,0.058,
Nagaland,0.014,0.014,,0.014,,,0.013,
Odisha,0.020,0.020,,0.021,,,0.021,
Punjab,0.023,0.023,,0.023,,,0.023,
Rajasthan,0.016,0.016,,0.018,,,0.018,
Sikkim,0.035,0.035,,0.035,,,0.037,
Tamil Nadu,0.015,0.016,,0.016,,,0.017,
Tripura,0.028,0.028,,0.029,,,0.030,
Uttar Pradesh,0.014,0.014,,0.014,,,0.015,
Uttarakhand,0.027,0.027,,0.027,,,0.027,
West Bengal,0.011,0.010,,0.011,,,0.011,
Andaman and Nicobar Islands,,0.019,,0.019,,,0.020,
Chandigarh,0.017,0.016,,0.015,,,0.015,
Daman and Diu,0.009,0.009,,0.011,,,0.006,
Dadra and Nagar Haveli,,,,0.007,,,0.011,
Delhi,0.037,0.036,,0.035,,,0.032,
Lakshadweep,0.037,0.037,,0.036,,,0.036,
Puducherry,0.015,0.015,,0.014,,,0.014,
"Source: Department of Justice, Ministry of Law & Justice",,,,,,,,
