Item,,,2016,,2017,2018,,2019
Number of Working Strength of judges in SC and HC,,,630,,700,684,,701
Number of Working Strength of judges in District & Subordinate courts,,,16413,,16728,17509,,23235
Total judges,,,17043,,17428,18193,,23936
Mid-year projected population (in lakh),,,12739.86,,12885.22,13028.96,,13170.13
Number of Judges (all levels) per lakh population,,,1.34,,1.35,1.4,,1.82
Source : Ministry of Law & Justice,,,,,,,,
State/uT,(Judges per lakh population),,,,,,,
,2016,2017,,2018,,,2019,
Andhra Pradesh and Telangana,0.010,0.010,,0.010,,,0.010,
Arunachal Pradesh,0.013,0.013,,0.019,,,0.019,
Assam,0.010,0.011,,0.012,,,0.010,
Bihar,0.010,0.009,,0.011,,,0.011,
Chhattisgarh,0.014,0.013,,0.015,,,0.015,
Goa,0.025,0.021,,0.020,,,0.021,
Gujarat,0.018,0.018,,0.018,,,0.017,
Haryana,0.018,0.018,,0.017,,,0.017,
Himachal Pradesh,0.021,0.021,,0.021,,,0.021,
Jammu and Kashmir,0.018,0.018,,0.018,,,0.018,
Jharkhand,0.013,0.012,,0.013,,,0.013,
Karnataka,0.015,0.015,,0.017,,,0.017,
Kerala,0.012,0.013,,0.012,,,0.013,
Madhya Pradesh,0.016,0.016,,0.017,,,0.019,
Maharashtra,0.016,0.016,,0.015,,,0.016,
Manipur,0.010,0.015,,0.015,,,0.015,
Meghalaya,0.015,0.014,,0.014,,,0.014,
Mizoram,0.028,0.043,,0.042,,,0.042,
Nagaland,0.010,0.009,,0.011,,,0.011,
Odisha,0.014,0.015,,0.017,,,0.017,
Punjab,0.019,0.018,,0.018,,,0.020,
Rajasthan,0.015,0.015,,0.015,,,0.015,
Sikkim,0.020,0.027,,0.029,,,0.028,
Tamil Nadu,0.014,0.013,,0.013,,,0.013,
Tripura,0.020,0.020,,0.019,,,0.022,
Uttar Pradesh,0.008,0.008,,0.009,,,0.009,
Uttarakhand,0.020,0.021,,0.021,,,0.021,
West Bengal,0.010,0.010,,0.010,,,0.010,
Andaman and Nicobar Islands,0.017,0.019,,0.019,,,0.020,
Chandigarh,,0.016,,0.015,,,0.015,
Daman and Diu,0.008,0.009,,0.011,,,0.006,
Dadra and Nagar Haveli,,,,0.007,,,0.008,
Delhi,0.023,0.022,,0.024,,,0.023,
Lakshadweep,0.037,0.024,,0.036,,,0.036,
Puducherry,0.008,0.007,,0.010,,,0.006,
"Source: Department of Justice, Ministry of Law & Justice",,,,,,,,
