State/ut,2015,2016,2017,2018
Andhra Pradesh,62.1,63.9,67.1,60.1
Arunachal Pradesh,73.9,64.5,58.1,48.2
Assam,62.6,60.5,61.3,61.3
Bihar,82.4,83.8,84.4,81.4
Chhattisgarh,55.9,55.6,56,54.8
Goa,62.2,61.2,60.2,65.7
Gujarat,64.7,63.7,64.3,66.5
Haryana,57.4,59.1,61,63.2
Himachal Pradesh,59.9,59.9,55.8,61.6
Jammu and Kashmir,81.5,72.9,82.6,83.2
Jharkhand,77.1,74.3,74.4,75.8
Karnataka,69.1,70.8,70.1,72.5
Kerala,62.3,60.1,62.5,64.2
Madhya Pradesh,55.4,54.8,54.9,55
Maharashtra,73.1,72.2,72.6,75
Manipur,81.9,83.8,84.4,88.7
Meghalaya,91.4,89.2,88.4,87.2
Mizoram,48.9,49.7,52.9,57.4
Nagaland,79.6,71.7,67.1,68.8
Odisha,78.8,76.9,75.9,76.7
Punjab,55.2,55.9,59.1,61.8
Rajasthan,70.8,72.8,71.6,72
Sikkim,55.8,60.5,53.5,57.6
Tamil Nadu,55.6,54.7,56.9,67.5
Telangana,56.8,63.1,60.6,57.5
Tripura,44.1,39.2,44.3,50.6
Uttar Pradesh,70.6,71.8,71.3,72.3
Uttarakhand,52.7,53,54.8,60.7
West Bengal,71.3,69.1,71.4,71.4
Andaman and Nicobar Islands,16.2,42.1,48.3,56
Chandigarh,49.3,50.7,52.5,57.5
Dadra and Nagar Haveli,100,100,100,97.4
Daman and Diu,67.4,69.5,76.3,74.6
Delhi,76.7,77.8,80.9,80.6
Lakshadweep,95.8,100,100,100
Puducherry,56,72.7,69.5,67.5
All India (Total),67.2,67.7,68.5,69.4
"Source: National Crime Record Bureau, MHA",,,,
