State/ut,Value of property (in crores),,,,,,,,Percentage recovery of stolen,,,
,Stolen during the year,,,,Recovered during the year,,,,Property during the year,,,
,2015,2016,2017,2018,2015,2016,2017,2018,2015,2016,2017,2018
Andhra Pradesh,121.1,113.2,127,112.3,55.2,46.5,56.3,49.8,45.6,41.1,44.3,44.4
Arunachal Pradesh,16.3,12.9,20.4,11.4,6.8,2.2,2,2.2,41.5,17.2,9.8,19.7
Assam,81.7,94.2,108.3,110.2,11.1,19.5,14.9,24.1,13.6,20.7,13.7,21.9
Bihar,120.3,100.2,158.4,119.2,17,19.8,44.4,22.2,14.2,19.8,28,18.6
Chhattisgarh,46.3,43.1,50.3,53,18.6,14.5,15.3,17.7,40.2,33.7,30.5,33.4
Goa,7.6,9.3,11,8.6,1.5,2.1,1.6,2.9,19.8,22.7,14.5,33.8
Gujarat,271.9,207.6,245.6,311.7,54.4,63,51.5,80.6,20,30.3,21,25.9
Haryana,169.2,261.5,213.4,230.1,61.8,76.8,64,65.9,36.5,29.4,30,28.6
Himachal Pradesh,15,19.6,18,17.9,5.7,8.6,8.5,7,38.1,44,47.2,38.9
Jammu and Kashmir,25.6,25,29.6,33.4,9.7,11.3,10.4,11.1,37.7,45.1,35,33.3
Jharkhand,33.8,27.9,34.7,37,7.9,5.9,3.2,3.4,23.3,21.2,9.2,9.1
Karnataka,267.7,276.6,295.3,244.8,104,105,125.3,97.3,38.9,38.1,42.4,39.7
Kerala,96.3,83.1,57.5,66.5,25.5,18.2,20.4,23.4,26.5,22,35.5,35.2
Madhya Pradesh,287.5,236.7,163.8,171.5,73.5,72.6,65.5,63.2,25.6,30.7,40,36.8
Maharashtra,4533.9,3371.3,1521.3,1403,232,267,207.7,754.2,5.1,7.9,13.7,53.7
Manipur,10.8,8.6,7.2,12,1.5,3,1.4,1.1,14.3,35,19.9,9.1
Meghalaya,56.5,15,8.8,12.4,3,1.7,1.2,1.4,5.3,11.4,14,11.2
Mizoram,11.8,8.9,6.2,3.6,3.9,3.5,0.5,1.8,32.9,39.3,7.3,51.3
Nagaland,13,8.1,4.9,7.4,2.5,1.9,1.2,1.6,18.8,23.2,24.8,21.4
Odisha,111.4,111.3,133.1,119.3,35,28.4,39.4,34.4,31.4,25.5,29.6,28.8
Punjab,105.7,106,92.3,102.5,59.4,38.8,32.7,31.1,56.2,36.6,35.4,30.4
Rajasthan,259.4,240.1,237.4,247.2,136.3,131,125.1,119.5,52.5,54.7,52.7,48.3
Sikkim,2.5,1.9,1.5,1.3,0.9,0.8,0.4,0.3,35.1,40.1,23.7,22.5
Tamil Nadu,131.2,136.9,151.7,144.2,85.8,91.5,118,96.6,65.4,66.9,77.8,67
Telangana,98.3,113.6,120.4,160.6,56.8,60.9,62.3,113.4,57.8,53.7,51.7,70.6
Tripura,65,2.4,4.4,5.4,1,0.7,1.1,1,1.5,29.8,25.7,18.1
Uttar Pradesh,296.4,630.1,293.3,324.4,104.5,168,100.1,94.1,35.3,26.6,34.1,29
Uttarakhand,11.3,13.3,15.5,18.2,5.4,7.2,8.2,11.5,47.8,54,52.7,63.2
West Bengal,199.9,158.4,100.7,97.1,31.9,24.7,29.8,47.5,16,15.6,29.6,48.9
Andaman and Nicobar Islands,2.2,0.8,1.2,1.1,1.7,0.3,0.5,0.6,77,37.3,45,54
Chandigarh,9.1,8,8.2,9.9,4.6,2.8,2.7,3.5,51.2,34.8,33.2,35.5
Dadra and Nagar Haveli,5.1,4.2,1.4,5.8,2.6,1.4,0.7,1.8,51.3,33.1,54.2,30.6
Daman and Diu,2.3,1.1,0.8,0.9,0.5,0.6,0.1,0.2,20.9,54.7,11.4,25.3
Delhi,719.9,3278.8,752.7,1018,126,157,77.6,61.8,17.5,4.8,10.3,6.1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,2.5,0
Puducherry,4.3,3.6,6.1,4.9,2.2,1.4,2.1,1.7,51.3,40.1,34.9,35.5
All India (Total),8210.4,9733.1,5002.5,5227,1350.2,1459,1296.1,1849.9,16.4,15,25.9,35.4
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,,,,,,,,,
