State/ut,2015,2016,2017,2018
Andhra Pradesh,0.36,0.32,0.38,0.29
Arunachal Pradesh,1.15,0.96,0.74,1.21
Assam,0.04,0.07,0.08,0.07
Bihar,0.11,0.14,0.11,0.06
Chhattisgarh,0.19,0.27,0.10,0.09
Goa,0.56,0.73,0.26,0.72
Gujarat,0.49,0.39,0.22,0.49
Haryana,0.76,0.50,0.29,0.38
Himachal Pradesh,0.55,0.39,0.40,0.39
Jammu and Kashmir,0.79,0.42,0.63,0.63
Jharkhand,0.23,0.33,0.47,0.24
Karnataka,0.42,0.04,0.45,0.58
Kerala,1.06,1.24,0.41,0.41
Madhya Pradesh,0.82,0.51,0.37,0.31
Maharashtra,1.07,0.85,0.77,0.77
Manipur,0.08,0.00,0.03,0.13
Meghalaya,0.25,0.00,0.03,0.03
Mizoram,0.57,0.43,0.43,0.59
Nagaland,0.08,0.48,0.57,0.75
Odisha,1.08,1.32,1.14,1.13
Punjab,0.50,0.59,0.57,0.59
Rajasthan,0.55,0.52,0.53,0.49
Sikkim,1.25,2.17,0.00,0.00
Tamil Nadu,0.29,0.23,0.34,0.35
Telangana,0.53,0.24,0.15,0.38
Tripura,0.21,0.05,0.03,0.15
Uttar Pradesh,0.03,0.01,0.03,0.04
Uttarakhand,0.19,0.26,0.12,0.15
West Bengal,0.02,0.02,0.02,0.01
"Andaman and Nicobar 
Islands",2.36,0.77,1.78,0.25
Chandigarh,0.75,1.31,0.17,0.26
Dadra and Nagar Haveli,0.00,0.00,0.00,0.38
Daman and Diu,0.00,0.00,0.00,0.00
Delhi UT,0.15,0.09,0.05,0.03
Lakshadweep,0.00,0.00,0.00,0.00
Puducherry,0.12,0.35,0.14,0.00
All India (Total),0.42,0.34,0.31,0.32
"Source: National Crime Records Bureau, Ministry of Home Affairs",,,,
