State/ut,2015-16,2016-17,2017-18,2018-19
Aand N Island,32,34,24,15
Andhra Pradesh,262,256,221,201
Arunachal Pradesh,38,34,35,47
Assam,66,100,82,91
Bihar,58,76,61,65
Chandigarh,56,60,53,73
Chhattisgarh,130,119,54,104
D and N Haveli,37,60,63,45
Daman and Diu,63,60,43,45
Delhi,84,113,90,126
Goa,31,40,46,61
Gujarat,211,201,189,188
Haryana,101,99,102,101
Himachal Pradesh,94,111,108,115
Jammu and Kashmir,58,76,56,54
Jharkhand,89,93,51,52
Karnataka,93,82,82,74
Kerala,192,180,146,125
Lakshadweep,34,21,13,12
Madhya Pradesh,215,199,143,138
Maharashtra,138,126,97,88
Manipur,61,62,37,43
Meghalaya,61,82,67,70
Mizoram,49,47,71,75
Nagaland,60,57,41,61
Odisha,105,99,91,93
Puducherry,67,58,48,58
Punjab,174,185,110,127
Rajasthan,118,234,142,106
Sikkim,32,47,34,41
Tamil Nadu,115,109,113,146
Telangana,228,243,242,220
Tripura,69,80,75,64
Uttar Pradesh,165,129,84,87
Uttarakhand,76,101,82,85
West Bengal,115,145,118,150
All India (Total),"3,577","3,818","3,114","3,246"
Source: Ministry of Electronic and IT,,,,
