Goal,Target,Indicator,Desc,Source,Data Reference Period,Periodicity,Unit of Measurement,Latest Data Availability,url
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.",16.1: Significantly reduce all forms of violence and related death rates everywhere.,"16.1.1: Number of victims of intentional homicide per 100,000 population.","a) Numerator: Number of victims reported under Murder (IPC Section 302 IPC) 
b) Denominator: Mid-year population during reference year 
c) multiplier: 1,00,000","Numerator: NCRB, MHA Denominator: ORGI, MHA",2015,Annual,"Rate (per 100,000 population)",2018,Link: http://ncrb.gov.in Publication: Crime in India
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.",16.1: Significantly reduce all forms of violence and related death rates everywhere.,"16.1.2: Per 1,00,000 Population subjected to physical, psychological or sexual violence in 
the previous 12 months","a) Numerator: Number of persons reported as victims of physical or psychological or 
sexual violence during reference year 
b) Denominator: Mid-year population during reference year 
c) multiplier: 1,00,000","Numerator - NCRB, MHA 
Denominator - ORGI, MHA",2015,Annual,"Rate (per 100,000 population)",2018,"Link: http://ncrb.gov.in 
Publication: Crime in India"
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.2: End abuse, exploitation, trafficking and all forms of violence against and torture of 
children.","16.2.1: Number of victims rescued from human trafficking per 100,000 population, by sex, 
age and form of exploitation","a) Numerator: Number of persons registered as rescued from human trafficking during 
reference year 
b) Denominator: Mid-year population during reference year 
c) multiplier: 100,000","Numerator - NCRB, MHA 
Denominator - RGI, MHA",2015,Annual,"Rate (per 100,000 population)",2018,Link: http://ncrb.gov.in Publication: Crime in India
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.2: End abuse, exploitation, trafficking and all forms of violence against and torture of 
children.",16.2.2: Proportion of Crime Committed against Children during the year (per lakh children),"a) Numerator: Number of victims under crimes against children during reference year 
b) Denominator: Mid-year population of children during reference year 
c) multiplier: 100,000","Numerator: NCRB, MHA Denominator: ORGI, MHA",2015,Annual,"Rate (per 100,000 children population)",2018,Link: http://ncrb.gov.in Publication: Crime in India
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.2: End abuse, exploitation, trafficking and all forms of violence against and torture of 
children.","16.2.3: Number of Missing Children 
(similar to Indicator 8.7.2)","a) Numerator: Number of children (under age 18) registered as missing during reference 
year within the geographical area. 
b) Denominator: Nil 
c) multiplier: Nil","NCRB, MHA",2015,Annual,Number,2018,Link: http://ncrb.gov.in Publication: Crime in India
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.3:Promote the rule of law at the national and international levels and ensure equal 
access to justice for all.",16.3.1: Number of courts per lakh population,"a
This indicator is defined as total sanctioned strength of (i) judges in Supreme Court (ii) 
judges in High Court (iii) Judicial Officers in District and Subordinate Courts per lakh mid-
year population. 
) Numerator: Total sanctioned strength of (i) judges in Supreme Court (ii) judges in High 
Court (iii) Judicial Officers in District and Subordinate Courts. 
b) Denominator: Mid-year projected population (in Lakhs) 
c) multiplier: 1,00,000",Ministry of Law and Justice,2016,Annual,Rate per lakh,2019,NA
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.3:Promote the rule of law at the national and international levels and ensure equal 
access to justice for all.",16.3.2: Number of Judges (all levels) per lakh population,"a
This indicator is defined as total working strength of (i) judges in Supreme Court (ii) judges 
in High Court (iii) Judicial Officers in District and Subordinate Courts per lakh mid-year 
population. 
) Numerator: Total working strength of (i) judges in Supreme Court (ii) judges in High Court 
(iii) Judicial Officers in District and Subordinate Courts. 
b) Denominator: Mid-year projected population (in Lakhs) 
c) multiplier: 1,00,000",Ministry of Law and Justice,2016,Annual,Rate per lakh,2019,NA
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.3: Promote the rule of law at the national and international levels and ensure equal 
access to justice for all",16.3.3: Unsentenced detainees as a proportion of overall prison population,"a
 P
 N
The total number of persons held in detention who have not yet been sentenced i.e. under 
trials, as a percentage of the total number of persons held in detention as on 31st Decem-
ber of the reference year. 
) Numerator: Total number of under trials as on 31st December of the reference year 
b) Denominator: Total prison inmates as on 31st December of the reference year 
c) multiplier: 100 
risoner1:  Any person confined or committed to jail (other than police custody) as per the 
order of a competent authority.
Convicted criminal prisoner or Convicts: Any criminal prisoner under sentence of a Court or 
Court-martial, and includes a person detained in prison under the provisions of Chapter VIII 
of the 6 Code of Criminal Procedure, 1882 (10 of 1882) or under the 7 Prisoners Act, 1871 
(5 of 1871).
under trial Prisoner: Any person who has been committed to judicial custody and against 
whom a criminal trial has been initiated by a competent authority (trial is in process and 
not yet disposed off). 
Detainees: Any person detained in prison on the orders of the competent authority under 
the relevant preventive laws. 
ote: Total prison inmates include convicts, under trials, detainees and other prison 
inmates. The information is collected by NCRB using a standard proformae from all prisons 
located in states and UTs through Prison Headquarters on annual basis.","NCRB, MHA",2015,Annual,Percentage,2018,Link: http://ncrb.gov.in Publication: Crime in India
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.4: By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery 
and return of stolen assets and combat all forms of organized crime",16.4.1: Number of cases under the Arms Act,"a) Numerator: Total number of cases registered under Arms Act, 1959 during reference 
year within the geographical area. 
b) Denominator: Nil 
c) multiplier: Nil","NCRB, MHA",2015,Annual,Number,2018,Link: http://ncrb.gov.in Publication: Crime in India
"16: Promote peaceful and inclusive societies for sustainable development, provide access 
to justice for all and build effective, accountable and inclusive institutions at all levels.","16.4: By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery 
and return of stolen assets and combat all forms of organized crime",16.4.2: Value of Property Stolen & Recovered and Percentage Recovery,"a) Numerator: Sum of value (in INR Cr.) stolen property recovered during reference year 
b) Denominator: Sum of value (in INR Cr.) of all property stolen during the reference calen-
dar year 
c) multiplier: 1,00,000","NCRB, MHA",2015,Annual,Percentage,2018,Link: http://ncrb.gov.in Publication: Crime in India
