State/ut,Underweight during 2015-16
Andhra Pradesh,31.90
Arunachal Pradesh,19.50
Assam,29.80
Bihar,43.90
Chhattisgarh,37.70
Goa,23.80
Gujarat,39.30
Haryana,29.40
Himachal Pradesh,21.20
Jammu and Kashmir,16.60
Jharkhand,47.80
Karnataka,35.20
Kerala,16.10
Madhya Pradesh,42.80
Maharashtra,36.00
Manipur,13.80
Meghalaya,29.00
Mizoram,11.90
Nagaland,16.80
Odisha,34.40
Punjab,21.60
Rajasthan,36.70
Sikkim,14.20
Tamil Nadu,23.80
Telangana,28.50
Tripura,24.10
Uttar Pradesh,39.50
Uttarakhand,26.60
West Bengal,31.50
Andaman and Nicobar Islands,21.60
Chandigarh,24.50
Dadra and Nagar Haveli,38.90
Daman and Diu,26.70
Delhi,27.00
Lakshadweep,23.40
Puducherry,22.00
All India (Total),35.70
Source: Ministry of Health and Family Welfare (National Family Health Survey),
