State/ut,2015-16,2016-17,2017-18,2018-19
Andhra Pradesh,99.99,99.99,100.00,100.00
Arunachal Pradesh,,94.27,94.27,94.27
Assam,95.51,99.89,99.89,99.89
Bihar,98.39,98.39,98.39,98.39
Chattisgarh,100.00,100.00,100.00,100.00
Delhi,99.42,99.94,99.94,99.94
Goa,96.05,100.00,100.00,100.00
Gujrat,,99.92,99.92,99.92
Haryana,100.00,100.00,100.00,100.00
Himachal Pradesh,72.73,77.80,77.80,77.80
J & K,100.00,100.00,100.00,100.00
Jharkhand,88.33,99.79,99.79,99.79
Karnataka,100.00,100.00,100.00,100.00
Kerala,,100.00,100.00,100.00
Madhya Pradesh,96.92,96.92,100.00,100.00
Maharashtra,100.00,100.00,100.00,100.00
Manipur,,84.55,89.53,93.35
Meghalaya,99.72,99.72,100.04,99.72
Mizoram,91.34,94.65,94.65,94.65
Nagaland,,94.98,94.98,94.98
Odisha,91.52,99.08,99.16,99.20
Punjab,100.00,100.00,100.00,100.00
Rajasthan,100.00,100.00,100.00,100.00
Sikkim,92.86,93.12,93.30,93.30
Tamil Nadu,,97.98,97.98,97.98
Telangana,99.96,99.96,99.96,99.96
Tripura,88.21,99.96,99.23,99.23
Uttar Pradesh,88.82,98.63,98.63,89.90
Uttarakhand,100.00,100.00,100.03,100.03
West Bengal,90.66,100.00,100.00,100.00
Andaman and Nicobar Islands,87.30,87.30,86.11,92.83
Daman and Diu,81.51,73.21,73.62,73.62
Dadra and Nagar Haveli,75.09,93.03,88.42,90.98
Lakshadweep,100.00,100.00,100.00,100.00
Chandigarh,37.90,52.56,56.47,56.77
Puduchery,93.22,95.00,97.10,97.20
All India (Total),95.18,99.01,99.24,97.62
"Source: Department of Food & PD, MoA&FW",,,,
