State/ut,Wasted during 2015-16
Andhra Pradesh,17.20
Arunachal Pradesh,17.30
Assam,17.00
Bihar,20.80
Chhattisgarh,23.10
Goa,21.90
Gujarat,26.40
Haryana,21.20
Himachal Pradesh,13.70
Jammu and Kashmir,12.10
Jharkhand,29.00
Karnataka,26.10
Kerala,15.70
Madhya Pradesh,25.80
Maharashtra,25.60
Manipur,6.80
Meghalaya,15.30
Mizoram,6.10
Nagaland,11.30
Odisha,20.40
Punjab,15.60
Rajasthan,23.00
Sikkim,14.20
Tamil Nadu,19.70
Telangana,18.00
Tripura,16.80
Uttar Pradesh,17.90
Uttarakhand,19.50
West Bengal,20.30
Andaman and Nicobar Islands,-
Chandigarh,10.90
Dadra and Nagar Haveli,27.60
Daman and Diu,24.10
Delhi,15.90
Lakshadweep,13.70
Puducherry,23.60
All India (Total),21.00
"Source: Ministry of Health and Family Welfare (National Family Health Survey) 
Note: ’-‘refers data is under compilation",
