State/ut,Body mass index less than 18.5 during 2015-16
Andhra Pradesh,17.60
Arunachal Pradesh,8.50
Assam,25.70
Bihar,30.50
Chhattisgarh,26.70
Goa,14.70
Gujarat,27.20
Haryana,15.80
Himachal Pradesh,16.20
Jammu and Kashmir,12.10
Jharkhand,31.60
Karnataka,20.80
Kerala,9.70
Madhya Pradesh,28.40
Maharashtra,23.50
Manipur,8.80
Meghalaya,12.10
Mizoram,8.40
Nagaland,12.30
Odisha,26.50
Punjab,11.70
Rajasthan,27.00
Sikkim,6.40
Tamil Nadu,14.60
Telangana,22.90
Tripura,19.00
Uttar Pradesh,25.30
Uttarakhand,18.40
West Bengal,21.30
Andaman and Nicobar Islands,13.10
Chandigarh,13.30
Dadra and Nagar Haveli,28.70
Daman and Diu,12.90
Delhi,14.80
Lakshadweep,13.50
Puducherry,11.30
All India (Total),22.90
Source: Ministry of Health and Family Welfare (National Family Health Survey),
