State/ut,Anaemic women (hb<11.0g/dl) during 2015-16
Andhra Pradesh,52.90
Arunachal Pradesh,33.80
Assam,44.80
Bihar,58.30
Chhattisgarh,41.50
Goa,-26.70
Gujarat,51.30
Haryana,55.00
Himachal Pradesh,50.40
Jammu and Kashmir,38.10
Jharkhand,62.60
Karnataka,45.40
Kerala,22.60
Madhya Pradesh,54.60
Maharashtra,49.30
Manipur,25.20
Meghalaya,49.50
Mizoram,26.60
Nagaland,28.90
Odisha,47.60
Punjab,42.00
Rajasthan,46.60
Sikkim,23.60
Tamil Nadu,44.30
Telangana,49.80
Tripura,54.40
Uttar Pradesh,58.60
Uttarakhand,43.90
West Bengal,53.60
Andaman and Nicobar Islands,61.40
Chandigarh,-
Dadra and Nagar Haveli,67.90
Daman and Diu,-
Delhi,46.10
Lakshadweep,39.00
Puducherry,27.80
All India (Total),50.40
"Source: Ministry of Health and Family Welfare (National Family Health Survey)  
Note: ’-‘ refers data is under compilation",
