State/ut,Anaemic children in age 6-59 months
Andhra Pradesh,58.60
Assam,35.70
Bihar,63.50
Chhattisgarh,41.60
Gujarat,62.60
Haryana,71.70
Jharkhand,69.90
Karnataka,60.90
Kerala,35.70
Madhya Pradesh,68.90
Maharashtra,53.80
Odisha,44.60
Punjab,56.60
Rajasthan,60.30
Tamil Nadu,50.70
Telangana,60.70
Uttar Pradesh,63.15
West Bengal,54.20
Arunachal Pradesh,54.20
Delhi,59.70
Goa,48.30
Himachal Pradesh,53.70
Jammu and Kashmir,54.50
Manipur,23.90
Meghalaya,48.00
Mizoram,19.30
Nagaland,26.40
Sikkim,55.10
Tripura,48.30
Uttarakhand,59.80
Andaman & Nicobar Islands,49.00
Chandigarh,73.10
Dadra and Nagar Haveli,84.60
Daman and Diu,73.80
Lakshadweep,53.60
Puducherry,44.90
All India (Total),55.50
Source: Ministry of Health and Family Welfare (National Family Health Survey),
