India & major states,Mmr during 2014-16,India & major states,Mmr during 2015-17
Assam,237,Assam,229
Bihar / Jharkhand,165,Bihar,165
,,Jharkhand,76
Madhya Pradesh /Chhattisgarh,173,Madhya Pradesh,188
,,Chhattisgarh,141
Odisha,180,Odisha,168
Rajasthan,199,Rajasthan,186
Uttar Pradesh / Uttarakhand,201,Uttar Pradesh,216
,,Uttarakhand,89
Andhra Pradesh,74,Andhra Pradesh,74
Telangana,81,Telangana,76
Karnataka,108,Karnataka,97
Kerala,46,Kerala,42
Tamil Nadu,66,Tamil Nadu,63
Gujarat,91,Gujarat,87
Haryana,101,Haryana,98
Maharashtra,61,Maharashtra,55
Punjab,122,Punjab,122
West Bengal,101,West Bengal,94
Other States,97,Other states,96
,,OTHER SUBTOTAL,90
All India (Total),130,All India (Total),122
"Source: Special Bulletin on Maternal Mortality In India 2014-16 and 2015-17, SRS, ORGI *:India, EAG & Assam, South and Other 
States, 2015-17",,,
