State/ut,Percentage of deliveries assisted by a skilled provider
Andhra Pradesh,92.10
Arunachal Pradesh,53.70
Assam,74.30
Bihar,69.90
Chhattisgarh,78.00
Goa,97.50
Gujarat,87.10
Haryana,84.60
Himachal Pradesh,78.90
Jammu and Kashmir,87.50
Jharkhand,69.60
Karnataka,93.70
Kerala,99.90
Madhya Pradesh,78.00
Maharashtra,91.10
Manipur,77.20
Meghalaya,53.80
Mizoram,83.60
Nagaland,41.30
Odisha,86.50
Punjab,94.10
Rajasthan,86.50
Sikkim,97.10
Tamil Nadu,99.20
Telangana,91.30
Tripura,80.90
Uttar Pradesh,70.40
Uttarakhand,71.20
West Bengal,81.60
Andaman & Nicobar Islands,97.20
Chandigarh,93.30
Dadra and Nagar Haveli,89.50
Daman and Diu,77.00
Delhi,86.60
Lakshadweep,100.00
Puducherry,100.00
All India (Total),81.40
Source: Ministry of Health and Family Welfare (National Family Health Survey),
