India & bigger states/uts,Fe-totalmalemale,,,Fe-totalmalemale,,,Fe-totalmalemale,,
,2015,,,2016,,,2017,,
India,28,26,31,25,24,27,25,24,27
Andhra Pradesh,29,25,35,26,23,30,25,25,25
Assam,27,25,29,23,22,23,22,23,22
Bihar,47,40,56,34,29,41,34,34,35
Chhattisgarh,35,36,34,32,31,32,33,32,33
Delhi,20,18,22,22,22,23,21,20,23
Gujarat,26,21,33,19,19,20,22,20,25
Haryana,36,34,37,29,26,32,28,26,31
Himachal Pradesh,26,34,16,22,28,16,19,20,18
Jammu and Kashmir,24,25,24,23,23,23,19,17,21
Jharkhand,26,25,26,26,29,24,28,24,33
Karnataka,25,25,26,20,19,22,24,25,24
Kerala,11,12,11,10,8,11,12,13,11
Madhya Pradesh,43,43,43,35,36,35,34,36,31
Maharashtra,15,15,16,14,13,15,16,16,16
Odisha,37,41,34,38,42,35,37,34,41
Punjab,21,21,22,23,21,25,21,20,23
Rajasthan,31,29,33,33,31,36,29,28,30
Tamil Nadu,16,15,18,15,14,16,17,15,18
Telangana,28,26,30,26,26,26,24,24,25
Uttar Pradesh,40,37,42,37,34,41,35,30,39
Uttarakhand,47,48,47,31,29,35,33,33,33
West Bengal,26,26,26,23,24,23,25,22,27
"Source: SRS Statistical Report, ORGI, MHA",,,,,,,,,
