India & bigger states/uts,Totalruralurban,,,Totalruralurban,,,Totalruralurban,,
,2015,,,2016,,,2017,,
India,25,29,15,24,27,14,23,27,14
Andhra Pradesh,24,29,12,23,27,11,23,27,11
Assam,25,26,14,23,24,13,22,23,13
Bihar,28,29,20,27,28,17,28,29,21
Chhattisgarh,27,28,21,26,27,20,26,27,21
Delhi,14,20,13,12,16,12,14,12,14
Gujarat,23,29,15,21,27,13,21,26,12
Haryana,24,26,19,22,24,16,21,23,16
Himachal Pradesh,19,19,14,16,16,15,14,14,10
Jammu and Kashmir,20,21,16,18,19,15,17,18,14
Jharkhand,23,25,15,21,23,13,20,21,13
Karnataka,19,24,11,18,22,10,18,22,11
Kerala,6,8,4,6,7,4,5,7,4
Madhya Pradesh,34,37,21,32,35,20,33,36,20
Maharashtra,15,19,10,13,17,9,13,17,9
Odisha,35,36,25,32,33,24,32,34,23
Punjab,13,14,13,13,13,12,13,14,12
Rajasthan,30,34,15,28,31,17,27,30,16
Tamil Nadu,14,17,10,12,16,9,11,14,8
Telangana,23,27,17,21,25,15,20,23,15
Uttar Pradesh,31,34,20,30,32,19,30,33,18
Uttarakhand,28,24,37,30,32,24,24,24,23
West Bengal,18,18,15,17,17,14,17,17,14
"Source: SRS Statistical Report ORGI, MHA",,,,,,,,,
