State/ut,2015-16,"As on 31st may, 2018"
Andhra Pradesh,6.64,3.74
Assam,10.24,8.43
Bihar,3.6,3.63
Chattisgarh,7.24,4.5
Gujarat,2.71,2.04
Haryana,3.42,3.33
Jharkhand,2.3,1.81
Karnataka,3.39,3.91
Kerala,7.32,14.85
Madhya Pradesh,7.32,5.72
Maharashtra,2.53,3.01
Odisha,5.83,3.56
Punjab,0.61,9.18
Rajasthan,6.06,3.03
Tamil Nadu,4.45,4.53
Telangana,6.75,4.71
Uttar Pradesh,3.89,1.94
West Bengal,4.61,1.05
Arunachal Pradesh,6.06,0
Delhi,14.02,16.57
Goa,0,0
Himachal Pradesh,12.96,14.29
Jammu and Kashmir,5.29,0
Manipur,5.26,14.29
Meghalaya,30.3,0
Mizoram,0,0
Nagaland,19.4,0
Sikkim,9.52,0
Tripura,23.81,50
Uttarakhand,1.31,0
Andaman & Nicobar Islands,10.34,11.11
Chandigarh,2.21,2.78
Dadra and Nagar Haveli,1.88,0
Daman and Diu,0,16.67
Lakshadweep,0,0
Puducherry,7.14,33.33
India,4.6,3.74
Source : Ministry of Health and Family Welfare,,
