State/ut,Percentage of women reported asth-ma during 2015-16,Percentage of men reported asthma during 2015-16
Andhra Pradesh,3.00,1.60
Arunachal Pradesh,1.20,0.30
Assam,0.90,0.70
Bihar,1.80,1.40
Chhattisgarh,0.90,0.40
Goa,1.00,0.50
Gujarat,1.30,0.90
Haryana,1.40,0.30
Himachal Pradesh,1.00,0.50
Jammu and Kashmir,0.90,1.30
Jharkhand,0.70,1.40
Karnataka,1.50,0.70
Kerala,3.10,1.00
Madhya Pradesh,1.90,1.10
Maharashtra,1.90,1.20
Manipur,1.60,0.50
Meghalaya,3.00,0.70
Mizoram,1.80,1.20
Nagaland,1.30,2.20
Odisha,2.50,2.20
Punjab,1.30,0.50
Rajasthan,0.90,0.70
Sikkim,1.00,0.90
Tamil Nadu,3.60,3.00
Telangana,3.50,1.50
Tripura,3.50,0.40
Uttar Pradesh,1.20,1.00
Uttarakhand,1.00,0.80
West Bengal,3.30,1.80
A&N Islands,4.50,0.90
Chandigarh,1.40,0.00
Dadra and Nagar Haveli,1.60,0.50
Daman and Diu,0.80,0.10
Delhi,1.40,0.20
Lakshadweep,3.10,1.20
Puducherry,2.20,2.80
All India (Total),1.90,1.20
Source: Ministry of Health and Family Welfare (National Family Health Survey),,
