State/ut,Who had 4 or more anc visits
Andhra Pradesh,76.30
Arunachal Pradesh,26.70
Assam,46.40
Bihar,14.40
Chhattisgarh,59.10
Goa,89.00
Gujarat,70.50
Haryana,45.10
Himachal Pradesh,69.10
Jammu and Kashmir,81.30
Jharkhand,30.30
Karnataka,70.10
Kerala,90.10
Madhya Pradesh,35.70
Maharashtra,72.20
Manipur,69.00
Meghalaya,50.00
Mizoram,61.40
Nagaland,15.00
Odisha,61.90
Punjab,68.40
Rajasthan,38.50
Sikkim,74.70
Tamil Nadu,81.10
Telangana,74.90
Tripura,64.30
Uttar Pradesh,26.40
Uttarakhand,30.90
West Bengal,76.40
Andaman and Nicobar Islands,92.10
Chandigarh,64.50
Dadra and Nagar Haveli,75.60
Daman and Diu,62.70
Delhi,67.90
Lakshadweep,82.30
Puducherry,87.70
All India (Total),51.20
Source: Ministry of Health and Family Welfare (National Family Health Survey),
