India & bigger states/uts,Totalmalefemale,,,Totalmalefemale,,,Totalmalefemale,,
,2015,,,2016,,,2017,,
India,48,46,50,43,42,46,42,41,43
Andhra Pradesh,43,42,44,41,42,41,39,39,39
Assam,65,62,70,56,52,60,51,47,54
Bihar,48,43,54,44,36,52,42,39,44
Chhattisgarh,51,47,55,53,53,52,50,53,47
Delhi,27,27,28,24,23,25,17,24,8
Gujarat,47,49,45,42,43,41,40,40,39
Haryana,47,44,51,41,38,46,38,35,42
Himachal Pradesh,33,34,32,28,25,30,26,24,27
Jammu and Kashmir,28,25,32,27,25,30,26,28,25
Jharkhand,43,38,48,35,32,37,35,31,39
Karnataka,35,34,35,33,30,36,30,30,30
Kerala,14,12,16,12,11,13,12,12,12
Madhya Pradesh,67,68,65,60,64,56,61,62,60
Maharashtra,29,26,33,27,25,29,25,24,26
Odisha,59,59,59,52,50,53,49,48,49
Punjab,30,31,29,25,26,25,26,25,27
Rajasthan,55,49,62,49,46,53,47,44,50
Tamil Nadu,25,25,25,23,24,22,22,23,21
Telangana,37,38,37,38,37,40,37,35,38
Uttar Pradesh,54,52,56,50,49,51,49,47,51
Uttarakhand,35,32,39,45,42,49,36,40,32
West Bengal,31,29,33,29,27,30,27,26,27
"Source: SRS Statistical Report, ORGI, MHA",,,,,,,,,
