State/ut,State/ut-wise incidence rate during the year,,,,,
,"male
Female
Total",,,"male
Female
Total",,
,2015,,,2017,,
Andhra Pradesh,0.17,0.13,0.15,0.14,0.11,0.13
Arunachal Pradesh,0.05,0.04,0.05,0.06,0.04,0.05
Assam,0.05,0.03,0.04,0.05,0.03,0.04
Bihar,0.11,0.08,0.09,0.09,0.07,0.08
Chhattisgarh,0.07,0.05,0.06,0.06,0.05,0.06
Delhi,0.22,0.12,0.18,0.19,0.11,0.16
Goa,0.15,0.11,0.13,0.14,0.10,0.13
Gujarat,0.11,0.09,0.10,0.08,0.06,0.07
Himachal Pradesh,0.02,0.01,0.01,0.02,0.01,0.01
Haryana,0.13,0.07,0.10,0.11,0.06,0.09
Jharkhand,0.09,0.07,0.08,0.08,0.06,0.07
Jammu and Kashmir,0.02,0.01,0.02,0.02,0.01,0.02
Karnataka,0.09,0.09,0.10,0.08,0.08,0.08
Kerala,0.03,0.02,0.03,0.03,0.02,0.03
Meghalaya,0.08,0.06,0.07,0.07,0.05,0.06
Maharashtra,0.07,0.05,0.06,0.06,0.04,0.05
Manipur,0.68,0.53,0.62,0.65,0.50,0.58
Madhya Pradesh,0.05,0.03,0.04,0.04,0.02,0.03
Mizoram,1.47,1.12,1.31,1.48,1.13,1.32
Nagaland,0.68,0.52,0.61,0.67,0.50,0.59
Odisha,0.07,0.06,0.06,0.06,0.05,0.06
Punjab,0.10,0.06,0.08,0.08,0.05,0.07
Rajasthan,0.06,0.03,0.05,0.05,0.03,0.04
Sikkim,0.03,0.02,0.03,0.03,0.02,0.03
Tamil Nadu,0.06,0.05,0.06,0.05,0.04,0.05
Telangana,0.31,0.24,0.28,0.28,0.22,0.26
Tripura,0.07,0.05,0.06,0.06,0.04,0.05
Uttarakhand,0.10,0.06,0.08,0.09,0.05,0.07
Uttar Pradesh,0.05,0.03,0.04,0.04,0.02,0.03
West Bengal,0.11,0.08,0.10,0.10,0.08,0.09
Andaman & Nicobar,0.16,0.11,0.14,0.17,0.12,0.15
Chandigarh,0.19,0.10,0.16,0.21,0.12,0.18
"Dadra and Nagar 
Haveli",0.17,0.11,0.15,0.16,0.11,0.14
Daman and Diu,0.16,0.11,0.15,0.13,0.10,0.13
Puducherry,0.09,0.08,0.09,0.12,0.10,0.11
India,0.09,0.07,0.08,0.08,0.06,0.07
Source: Ministry of Health & FW (National AIDS Control Organization),,,,,,
