State/ut,2015,2016,2017
Andhra Pradesh,12.4,15.7,14.1
Arunachal Pradesh,13.8,35.6,41.5
Assam,25.7,26.8,31.2
Bihar,6.6,6.2,6.8
Chhattisgarh,14,17.9,19.4
Goa,100,100,100
Gujarat,17.2,17,20.9
Haryana,-,13.8,16.3
Himachal Pradesh,12.4,15.9,14.5
Jammu and Kashmir,-,....,
Jharkhand,1.4,3.7,4.7
Karnataka,37.2,34.8,30.4
Kerala,12.8,10.8,11.1
Madhya Pradesh,10,9.7,9.4
Maharashtra,34.5,20.6,38.9
Manipur,59.3,....,55.2
Meghalaya,35.8,.....,40.5
Mizoram,42.9,41.7,54.6
Nagaland,8.2,9.2,15.4
Odisha,13.7,12.9,11.7
Punjab,15.1,15.1,15.7
Rajasthan,12.5,13.7,12.9
Sikkim,38.4,41.5,43.5
Tamil Nadu,40.5,42,43.3
Telangana,28.7,26.2,32.9
Tripura,64,38.9,21.4
Uttarakhand,10.6,5.7,7.1
Uttar Pradesh,-,9.6,8.6
West Bengal,5.2,4.9,13
Andaman and Nicobar Islands,51,55.3,61.5
Chandigarh,41.7,47.8,44.3
Dadra and Nagar Haveli,48,66. l,58.1
Daman and Diu,84.2,78.8,87
Delhi,56,57.2,60.7
Lakshadweep,86.9,83.5,95.4
Puducherry,74.4,72.7,63.7
Total,-,18.9,21.8
Total mCCD Reporting State/uTs,22,19,22
"Source: Office of Registrar General of India, Ministry of Home Affairs; 
Note: N.A Under compilation",,,
