State/ut,Percentage of women  (aged 15-49 years) during 2015-16,Percentage of men  (aged15-54 years) during 2015-16
Andhra Pradesh,0.4,35.2
Arunachal Pradesh,26.3,59.4
Assam,6.9,36
Bihar,0.2,29.2
Chhattisgarh,5,53.4
Goa,4.2,44.3
Gujarat,0.3,11
Haryana,0.1,25
Himachal Pradesh,0.3,41.2
Jammu and Kashmir,0.1,11.1
Jharkhand,4.1,39.5
Karnataka,1,29.5
Kerala,1.6,37.4
Madhya Pradesh,1.6,29.6
Maharashtra,0.2,20.8
Manipur,6.1,52.8
Meghalaya,2.1,44.9
Mizoram,4.9,49.2
Nagaland,3.3,37.7
Odisha,2.4,39.5
Punjab,0.1,35
Rajasthan,0.1,15.9
Sikkim,23,51.4
Tamil Nadu,0.4,47.2
Telangana,8.7,54.6
Tripura,4.8,56.8
Uttar Pradesh,0.1,22.3
Uttarakhand,0.3,36.1
West Bengal,0.8,28.2
A&N Islands,2.5,50.5
Chandigarh,0.5,39.4
Dadra and Nagar Haveli,0,34.2
Daman and Diu,1.4,35.8
Delhi,0.6,25.2
Lakshadweep,0,4.9
Puducherry,0.6,41.2
All India (Total),1.2,29.5
Source: Ministry of Health and Family Welfare/ Department of Health and Family Welfare,,
