State/ut,Death rate,,,,Injuries rate,,,
,2015,2016,2017,2018,2015,2016,2017,2018
Andhra Pradesh,16.16,16.60,15.58,14.58,57.34,58.39,53.09,42.30
Arunachal Pradesh,13.62,9.71,4.87,10.92,29.46,23.24,11.57,16.28
Assam,7.40,7.81,7.71,7.97,21.95,17.53,15.67,17.86
Bihar,5.33,4.24,4.77,5.69,6.13,4.83,5.16,5.64
Chhattisgarh,15.91,17.22,14.73,16.13,52.32,57.28,44.61,44.67
Goa,15.94,22.38,21.92,17.21,114.42,137.56,114.11,97.91
Gujarat,13.23,12.45,11.54,11.94,34.50,30.62,27.04,26.17
Haryana,18.53,18.74,19.53,19.12,39.01,37.40,37.09,34.57
Himachal Pradesh,15.52,16.25,16.34,14.82,72.35,77.84,74.39,68.68
Jammu and Kashmir,7.48,7.25,6.58,7.34,66.84,58.19,53.96,58.50
Jharkhand,8.67,8.41,8.92,9.56,12.11,10.54,10.73,10.73
Karnataka,17.51,17.52,16.34,16.79,91.90,84.69,81.57,78.78
Kerala,11.80,12.38,11.86,12.29,122.27,127.34,122.54,129.87
Madhya Pradesh,12.65,12.45,13.00,14.03,53.00,67.00,66.12,62.78
Maharashtra,11.49,11.49,10.83,11.42,32.99,29.99,22.89,20.68
Manipur,5.02,4.27,4.33,4.38,43.50,37.03,33.74,33.96
Meghalaya,7.45,6.50,7.32,6.13,21.42,11.86,11.96,7.25
Mizoram,6.13,5.17,5.72,5.24,7.36,2.67,3.92,6.17
Nagaland,1.99,2.25,2.13,1.64,2.37,2.20,3.74,4.22
Odisha,10.18,10.33,10.66,12.02,27.99,26.19,25.77,26.15
Punjab,16.91,17.38,15.62,15.95,15.25,14.89,14.12,11.24
Rajasthan,14.53,14.03,13.82,13.47,36.17,32.32,29.20,28.13
Sikkim,11.72,17.34,9.66,10.77,50.16,53.10,57.52,54.17
Tamil Nadu,22.62,23.03,21.51,16.19,115.31,109.91,99.29,98.78
Telangana,19.45,19.76,17.93,17.83,62.77,66.30,65.23,63.77
Tripura,4.16,4.45,4.15,5.35,27.08,21.96,18.25,18.70
Uttar Pradesh,8.53,8.76,9.44,10.11,8.05,9.22,9.82,10.01
Uttarakhand,8.66,8.48,8.40,9.71,15.72,16.04,12.95,14.32
West Bengal,7.21,6.98,6.06,5.67,16.56,14.56,12.12,11.23
Andaman and Nicobar Islands,4.18,4.34,5.33,4.80,60.18,82.40,66.75,65.66
Chandigarh,7.41,13.23,9.70,8.63,19.02,28.83,25.28,22.82
Dadra and Nagar Haveli,10.00,9.94,8.70,10.29,23.10,28.08,12.15,12.57
Daman and Diu,13.13,7.96,9.81,9.11,20.00,11.50,19.07,21.77
Delhi,7.77,8.46,8.54,8.86,39.55,35.46,31.73,28.83
Lakshadweep,0.00,1.49,0.00,1.49,3.75,0.00,2.99,4.48
Puducherry,14.24,17.06,15.69,15.26,94.06,124.98,134.14,116.61
All India (Total),11.81,11.77,11.46,11.54,38.31,37.64,34.85,33.74
"Source: (a) Numerator: National Crime Records Bureau (b) Denominator: Office of Registrar General of India, MHA",,,,,,,,
