State/ut,Percentage of institutional deliveries (period for 5 years),Percentage of institutional deliveries (period for 1 year)
Andhra Pradesh,91.50,94.40
Arunachal Pradesh,52.20,58.10
Assam,70.60,73.10
Bihar,63.80,68.10
Chhattisgarh,70.20,81.00
Goa,96.90,97.30
Gujarat,88.50,91.90
Haryana,80.40,87.10
Himachal Pradesh,76.40,82.70
Jammu and Kashmir,85.60,89.10
Jharkhand,61.90,65.70
Karnataka,94.00,96.20
Kerala,99.80,100.00
Madhya Pradesh,80.80,83.10
Maharashtra,90.30,93.70
Manipur,69.10,71.80
Meghalaya,51.40,52.70
Mizoram,79.70,81.10
Nagaland,32.80,38.00
Odisha,85.30,87.30
Punjab,90.50,93.60
Rajasthan,84.00,89.00
Sikkim,94.70,97.60
Tamil Nadu,98.90,99.40
Telangana,91.50,94.50
Tripura,79.90,80.90
Uttar Pradesh,67.80,73.20
Uttarakhand,68.60,75.10
West Bengal,75.20,79.30
Andaman & Nicobar Islands,96.40,94.38
Chandigarh,91.60,97.13
Dadra and Nagar Haveli,88.00,93.64
Daman and Diu,90.10,97.03
Delhi,84.40,91.34
Lakshadweep,99.30,100.00
Puducherry,99.90,100.00
All India (Total),78.90,82.60
Source: Ministry of Health and Family Welfare (National Family Health Survey),,
