State/ut,Men during 2015-16,Women during 2015-16
Andhra Pradesh,12.5,17.5
Arunachal Pradesh,18.0,20.8
Assam,8.2,11.0
Bihar,10.0,13.2
Chhattisgarh,11.4,14.3
Goa,13.3,19.3
Gujarat,9.1,13.2
Haryana,11.5,16.8
Himachal Pradesh,9.2,11.5
Jammu and Kashmir,9.7,12.3
Jharkhand,11.5,17.7
Karnataka,11.9,13.8
Kerala,15.1,22.6
Madhya Pradesh,8.5,13.4
Maharashtra,11.5,17.6
Manipur,13.2,19.8
Meghalaya,9.2,11.1
Mizoram,12.0,12.9
Nagaland,16.7,22.6
Odisha,9.0,5.7
Punjab,11.6,14.9
Rajasthan,14.4,23.4
Sikkim,16.1,15.4
Tamil Nadu,12.6,21.2
Telangana,14.2,12.9
Tripura,12.2,18.5
Uttar Pradesh,16.8,23.6
Uttarakhand,18.4,30.9
West Bengal,15.6,16.1
Andaman and Nicobar Islands,12.0,18.3
Chandigarh,11.6,29.9
Dadra and N Haveli,11.0,14.4
Daman and Diu,9.5,12.5
Delhi,10.2,11.3
Lakshadweep,14.2,10.8
Puducherry,12.2,17.2
All India (Total),11.0,14.8
Source: Ministry of Health and Family Welfare (National Family Health Survey),,
