State/ut,2015-16,,2016-17,,2017-18,
,Primary,"upper 
Primary",Primary,"upper 
Primary",Primary,"upper 
Primary"
Andaman and Nicobar Islands,78.87,66.86,75.45,66.73,74.68,65.46
Andhra Pradesh,71.56,62.50,68.97,60.56,70.33,60.89
Arunachal Pradesh,100.00,100.00,84.11,83.44,83.51,89.34
Assam,99.15,76.07,100.00,80.32,96.92,84.11
Bihar,99.52,94.14,91.80,93.56,86.27,91.31
Chandigarh,74.74,77.21,71.75,77.14,69.69,73.94
Chhattisgarh,91.39,81.39,89.03,82.75,89.74,89.71
Dadra and Nagar Haveli,78.41,70.47,77.95,68.83,82.27,66.68
Daman and Diu,74.35,64.97,73.04,64.79,73.09,63.76
Delhi,94.82,96.26,92.55,99.25,89.16,102.05
Goa,96.91,85.85,96.02,87.09,94.74,86.32
Gujarat,82.02,73.06,80.67,74.55,82.52,70.99
Haryana,73.77,68.83,75.63,69.77,77.55,72.78
Himachal Pradesh,81.55,79.42,83.65,80.31,84.01,78.64
Jammu and Kashmir,72.68,56.45,62.92,49.76,65.74,54.88
Jharkhand,96.27,86.36,83.34,70.69,92.02,88.04
Karnataka,95.92,78.21,96.95,85.94,95.08,81.75
Kerala,85.40,79.24,85.81,79.69,86.45,80.01
Lakshadweep,74.21,69.09,69.51,67.57,69.73,66.91
Madhya Pradesh,79.84,72.29,78.62,70.29,75.91,68.95
Maharashtra,86.00,77.78,86.07,79.54,86.38,79.42
Manipur,100.00,100.00,100.00,94.65,103.67,105.76
Meghalaya,96.67,68.60,89.01,68.68,97.91,79.65
Mizoram,98.80,87.10,89.65,88.64,87.63,89.88
Nagaland,83.04,76.15,66.84,65.34,66.37,72.35
Odisha,89.63,70.57,88.47,75.48,85.43,78.28
Puducherry,71.09,65.57,79.14,74.24,63.73,53.68
Punjab,84.24,89.01,82.70,73.36,78.21,66.65
Rajasthan,79.06,66.03,78.84,68.93,79.02,67.19
Sikkim,75.32,77.74,54.78,54.05,70.50,90.98
Tamil Nadu,90.16,77.22,89.47,74.17,85.95,69.26
Telangana,80.03,67.50,81.59,66.01,81.48,66.43
Tripura,97.80,100.00,96.82,100.00,97.52,129.11
Uttar Pradesh,83.85,60.77,78.58,58.43,74.44,55.56
Uttarakhand,84.90,66.63,81.71,66.29,81.36,67.60
West Bengal,92.44,78.66,82.44,71.89,93.05,83.53
All India,87.14,73.94,83.62,72.69,82.53,72.62
"Source: School Education, Ministry of Human Resource Development",,,,,,
