State/ut,2015-16,,,2016-17,,
,Primary,"upper 
Primary",Secondary,Primary,"upper 
Primary",Secondary
Andaman and Nicobar Islands,84.34,77.41,76.56,80.75,77.41,72.81
Andhra Pradesh,71.60,62.62,51.37,79.85,77.59,46.51
Arunachal Pradesh,100.00,100.00,73.13,90.28,96.10,58.12
Assam,100.00,80.36,58.42,100.00,84.16,62.26
Bihar,100.00,100.00,55.80,92.93,100.00,54.46
Chandigarh,79.87,85.40,74.30,76.62,85.40,74.77
Chhattisgarh,93.69,85.87,59.98,91.31,87.68,60.77
Dadra and Nagar Haveli,86.18,81.23,65.87,86.19,80.48,66.68
Daman and Diu,78.38,72.49,53.50,77.28,74.61,54.22
Delhi,100.00,100.00,83.10,100.00,100.00,85.89
Goa,98.93,88.97,88.51,98.77,91.28,83.60
Gujarat,91.09,84.76,57.37,90.39,86.93,58.89
Haryana,82.08,83.74,70.63,80.63,80.39,63.57
Himachal Pradesh,92.61,97.00,92.05,93.01,95.75,89.83
Jammu and Kashmir,78.83,65.89,55.70,68.68,57.57,47.10
Jharkhand,97.81,94.06,58.16,87.20,77.26,46.29
Karnataka,98.57,82.11,66.22,96.95,85.94,75.36
Kerala,91.50,90.02,90.01,91.92,90.96,90.34
Lakshadweep,82.04,83.55,86.12,77.08,81.21,84.89
Madhya Pradesh,84.53,79.80,54.66,82.74,77.39,54.85
Maharashtra,89.47,84.23,68.68,89.31,86.08,69.99
Manipur,100.00,100.00,87.41,100.00,100.00,76.41
Meghalaya,98.47,70.45,50.27,91.02,72.10,36.78
Mizoram,100.00,90.70,61.64,91.43,92.48,59.20
Nagaland,83.86,78.57,46.04,69.05,68.46,35.78
Odisha,100.00,83.89,66.39,97.61,87.73,69.78
Puducherry,85.08,88.73,84.24,82.16,78.58,76.28
Punjab,87.55,98.58,63.39,87.24,84.27,65.23
Rajasthan,83.13,76.33,56.29,82.81,79.83,58.15
Sikkim,77.46,82.10,44.83,55.48,54.59,22.05
Tamil Nadu,100.00,93.01,89.77,100.00,89.93,88.79
Telangana,89.26,82.73,83.52,87.64,75.92,77.42
Tripura,98.44,100.00,88.92,97.31,100.00,89.43
Uttar Pradesh,87.36,69.88,56.09,82.38,68.34,57.63
Uttarakhand,92.22,78.21,68.95,88.93,77.22,67.19
West Bengal,97.44,90.02,62.77,84.94,76.65,55.35
All India,91.47,83.46,62.81,88.05,82.00,62.42
"Source: Department of School Education, Ministry of Human Resource Development",,,,,,
