State/ut,Higher secondary,,
,2015-16,2016-17,2017-18
Andhra Pradesh,58.69,60.56,47.25
Arunachal Pradesh,61.04,51.17,54.83
Assam,38.46,39.74,38.91
Bihar,35.65,28.82,31.53
Chhattisgarh,54.04,54.45,53.91
Goa,76.83,78.65,79.52
Gujarat,43.19,43.17,46.46
Haryana,59.16,60.78,59.44
Himachal Pradesh,94.44,91.97,90.95
Jammu and Kashmir,56.97,52.91,62.22
Jharkhand,48.11,37.06,56.72
Karnataka,39.35,41.91,49.87
Kerala,77.64,79.37,79.09
Madhya Pradesh,45.22,47.12,48.42
Maharashtra,67.70,70.72,71.20
Manipur,67.10,64.36,72.53
Meghalaya,42.81,40.56,44.87
Mizoram,54.99,54.60,53.66
Nagaland,35.97,36.30,36.21
Odisha,35.99,40.09,43.22
Punjab,68.67,72.24,70.58
Rajasthan,59.32,60.31,62.11
Sikkim,67.38,64.22,70.50
Tamil Nadu,80.59,83.69,82.49
Telangana,59.82,50.57,62.89
Tripura,42.92,41.89,45.25
Uttar Pradesh,60.29,58.96,55.29
Uttarakhand,74.74,77.07,76.62
West Bengal,50.82,50.89,56.32
Andaman and Nicobar Islands,75.74,72.79,71.27
Chandigarh,86.19,83.17,87.42
Dadra and Nagar Haveli,49.45,51.76,44.26
Daman and Diu,22.43,34.61,34.08
Delhi,78.51,74.18,76.16
Lakshadweep,99.42,97.87,88.52
Puducherry,76.73,74.19,65.83
All India (Total),55.73,55.40,56.50
"Source: Department of School Education, Ministry of Human Resource Development Note ‘ @’ - data included in AP",,,
