State/ sub indicators,Class-3class-5class-8,,,Class-3class-5class-8,,
,Language,,,math,,
Andhra Pradesh,91.50,91.50,87.80,95.60,89.20,72.50
Arunachal Pradesh,74.80,69.40,68.30,74.00,64.20,51.60
Assam,93.60,89.20,85.10,92.30,88.70,74.00
Bihar,91.30,86.90,86.40,87.70,80.70,70.20
Chhattisgarh,89.30,85.80,83.50,86.00,75.00,54.30
Goa,92.20,82.80,89.00,88.60,78.60,54.30
Gujarat,93.30,87.70,90.00,90.30,84.80,72.10
Haryana,87.10,83.60,86.40,82.40,73.70,56.80
Himachal Pradesh,91.30,91.40,89.70,87.10,78.80,55.80
Jammu and Kashmir,88.50,83.10,64.30,85.10,81.40,55.20
Jharkhand,93.60,90.30,89.20,90.20,84.30,78.80
Karnataka,95.40,94.80,90.40,94.50,92.10,76.60
Kerala,96.10,94.10,92.20,96.20,90.80,81.30
Madhya Pradesh,93.10,82.30,80.60,88.90,75.20,60.40
Maharashtra,93.10,87.40,90.20,90.50,79.30,62.40
Manipur,93.50,88.00,79.90,92.90,84.30,64.70
Meghalaya,85.80,78.00,75.50,83.50,68.40,53.50
Mizoram,95.40,84.80,73.90,91.50,74.50,62.60
Nagaland,91.00,82.00,70.20,91.90,73.40,51.70
Odisha,89.20,79.70,79.60,84.90,81.90,64.10
Punjab,82.80,79.60,79.80,76.60,67.40,43.30
Rajasthan,96.90,94.90,92.20,95.00,92.00,84.00
Sikkim,87.70,83.90,82.50,84.60,72.00,46.30
Tamil Nadu,90.10,88.00,86.10,92.30,80.50,56.50
Telangana,92.80,86.20,83.00,93.50,84.80,56.60
Tripura,90.00,86.80,83.10,85.30,78.50,59.50
Uttar Pradesh,75.40,73.50,75.80,82.10,73.80,58.90
Uttarakhand,94.60,92.90,87.80,92.90,87.10,62.10
West Bengal,95.20,82.80,83.20,92.40,74.30,57.90
Andaman and Nicobar Islands,89.50,82.10,79.60,91.30,77.90,51.40
Chandigarh,97.00,95.40,91.80,95.00,91.00,71.30
Dadra and Nagar Haveli,94.20,92.50,87.70,92.50,89.00,70.70
Daman and Diu,87.30,80.50,82.10,83.70,72.60,48.90
Delhi,83.50,82.10,84.90,79.70,70.90,49.80
Lakshadweep,85.20,84.30,75.70,89.70,78.70,54.80
Puducherry,89.00,81.50,73.90,92.30,83.20,48.70
All India,90.29,85.55,82.82,88.69,79.81,60.93
Source: Department of School Education Ministry of Human Resource Development MHRD,,,,,,
