State/ut,Primary,Upper primary,Secondary
Andhra Pradesh,99.97,99.97,100.00
Arunachal Pradesh,99.70,99.80,96.32
Assam,99.84,99.65,96.58
Bihar,99.47,99.72,98.78
Chhattisgarh,99.56,99.59,91.11
Goa,99.94,99.96,99.92
Gujarat,99.92,99.84,99.48
Haryana,99.68,99.81,99.10
Himachal Pradesh,99.79,99.67,97.60
Jammu And Kashmir,99.87,99.32,95.62
Jharkhand,99.19,99.36,98.23
Karnataka,99.45,99.41,97.11
Kerala,99.86,99.91,99.87
Madhya Pradesh,99.00,99.43,91.16
Maharashtra,99.95,99.95,99.32
Manipur,99.69,99.79,97.88
Meghalaya,96.85,95.92,94.70
Mizoram,99.74,99.66,92.75
Nagaland,99.43,99.43,96.11
Odisha,99.91,99.97,99.77
Punjab,99.87,99.90,98.53
Rajasthan,99.04,99.39,98.02
Sikkim,99.59,99.94,99.11
Tamil Nadu,99.89,99.77,100.00
Telangana,100.00,100.00,100.00
Tripura,99.27,99.10,95.86
Uttar Pradesh,99.72,99.58,98.58
Uttarakhand,99.40,99.44,92.45
West Bengal,99.37,99.34,98.76
Andaman and Nicobar Islands,99.84,99.87,99.65
Chandigarh,99.87,99.89,97.89
Dadra and Nagar Haveli,99.10,99.31,100.00
Daman and Diu,99.94,100.00,98.99
Delhi,99.89,99.77,99.09
Lakshadweep,100.00,100.00,100.00
Puducherry,100.00,100.00,99.10
All India,99.60,99.64,98.16
"Source: Department of School, Ministry of Human Resource Development * Provisional Data",,,
